forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-22,-1 day ahead inc case,2021-03-21,GM,Germany,observed,NA,13733.0
2021-03-22,0 day ahead inc case,2021-03-22,GM,Germany,observed,NA,7709.0
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,point,NA,16192.557385320066
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.010,12381.851025843851
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.025,13046.598991188584
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.050,13508.444234553095
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.100,14130.679248625784
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.150,14594.456898866298
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.200,14799.292027722524
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.250,15108.477127882867
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.300,15359.690021763145
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.350,15610.902915643423
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.400,15751.968617591578
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.450,15943.27689831579
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.500,16192.557385320066
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.550,16323.961052888211
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.600,16569.376726140483
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.650,16700.78039370863
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.700,16824.454433772764
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.750,17052.478445141016
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.800,17359.731138425355
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.850,17987.76337312605
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.900,18399.366037714506
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.950,19226.43618064342
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.975,19701.808272139948
2021-03-22,1 day ahead inc case,2021-03-23,GM,Germany,quantile,0.990,20389.74511999671
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,point,NA,16773.703623222147
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.010,12413.32471668693
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.025,13222.762783808033
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.050,13679.312320304134
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.100,14415.967127983833
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.150,14932.0666040229
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.200,15148.210829030717
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.250,15516.538232870567
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.300,15798.84905737057
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.350,16123.065394882293
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.400,16246.576380601045
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.450,16453.898392343235
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.500,16773.703623222147
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.550,16906.036822206523
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.600,17155.264346960434
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.650,17344.941932171372
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.700,17501.536217636218
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.750,17724.297102593253
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.800,18101.446719698728
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.850,18789.57935441749
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.900,19281.41774397609
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.950,20267.300076409694
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.975,20818.688405511268
2021-03-22,2 day ahead inc case,2021-03-24,GM,Germany,quantile,0.990,21670.03198564409
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,point,NA,17371.758312662503
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.010,12485.093134539664
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.025,13364.04364179528
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.050,13868.44137607265
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.100,14697.451513597833
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.150,15276.759802470851
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.200,15506.485503230842
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.250,15923.487590479956
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.300,16218.135771889509
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.350,16597.682581840796
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.400,16777.467912870354
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.450,17009.690632116864
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.500,17371.758312662503
2021-03-22,3 day ahead inc case,2021-03-25,GM,Germany,quantile,0.550,17471.63905212337
