forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-22,-1 day ahead inc death,2021-03-21,GM,Germany,observed,NA,99.0
2021-03-22,0 day ahead inc death,2021-03-22,GM,Germany,observed,NA,50.0
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,point,NA,255.4513506216502
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.010,224.87013560934534
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.025,229.9146217444686
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.050,234.6290947679483
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.100,239.50071689221056
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.150,243.61802333271618
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.200,245.7866809235168
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.250,248.01819815463054
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.300,249.88827245394413
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.350,251.16118017028361
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.400,252.95267991920593
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.450,254.35130691617155
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.500,255.4513506216502
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.550,256.8342627085375
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.600,257.9814511442509
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.650,259.9300999939558
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.700,260.73156040794737
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.750,262.4287706964001
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.800,265.44603343142705
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.850,268.8561689184107
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.900,273.42920775118597
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.950,277.87652730333514
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.975,282.779579247754
2021-03-22,1 day ahead inc death,2021-03-23,GM,Germany,quantile,0.990,288.0283592138947
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,point,NA,264.2484699593075
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.010,227.6779768377014
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.025,233.25749161598486
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.050,238.6662049214637
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.100,244.73914617673822
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.150,249.7113668294942
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.200,251.95076391737666
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.250,254.98723454501388
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.300,256.9609404529781
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.350,258.66895518102405
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.400,260.8324405032156
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.450,263.31855082959356
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.500,264.2484699593075
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.550,266.10830821873526
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.600,268.0061023610086
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.650,269.67616120620903
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.700,271.0425729886458
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.750,273.1870803694146
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.800,276.1666171727836
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.850,280.9490584113123
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.900,285.5606981770364
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.950,292.6394703277157
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.975,297.3270218591307
2021-03-22,2 day ahead inc death,2021-03-24,GM,Germany,quantile,0.990,304.4817057755009
2021-03-22,3 day ahead inc death,2021-03-25,GM,Germany,point,NA,273.53389983916014
2021-03-22,3 day ahead inc death,2021-03-25,GM,Germany,quantile,0.010,229.70709307642443
2021-03-22,3 day ahead inc death,2021-03-25,GM,Germany,quantile,0.025,237.16553679800055
2021-03-22,3 day ahead inc death,2021-03-25,GM,Germany,quantile,0.050,242.79880244873777
2021-03-22,3 day ahead inc death,2021-03-25,GM,Germany,quantile,0.100,250.0319155442844
