"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-14,"6 day ahead inc death",2021-03-20,"PL","Poland","point",NA,359.593046507158
2021-03-14,"5 day ahead inc death",2021-03-19,"PL","Poland","point",NA,350.29489484895
2021-03-14,"4 day ahead inc death",2021-03-18,"PL","Poland","point",NA,340.996743190757
2021-03-14,"3 day ahead inc death",2021-03-17,"PL","Poland","point",NA,331.698591532549
2021-03-14,"2 day ahead inc death",2021-03-16,"PL","Poland","point",NA,322.400439874342
2021-03-14,"1 day ahead inc death",2021-03-15,"PL","Poland","point",NA,313.102288216149
2021-03-14,"0 day ahead inc death",2021-03-14,"PL","Poland","observed",NA,303.804136557941
2021-03-14,"-1 day ahead inc death",2021-03-13,"PL","Poland","observed",NA,344
2021-03-14,"6 day ahead cum death",2021-03-20,"PL","Poland","point",NA,49389.8901407278
2021-03-14,"5 day ahead cum death",2021-03-19,"PL","Poland","point",NA,49030.2970942207
2021-03-14,"4 day ahead cum death",2021-03-18,"PL","Poland","point",NA,48680.0021993717
2021-03-14,"3 day ahead cum death",2021-03-17,"PL","Poland","point",NA,48339.005456181
2021-03-14,"2 day ahead cum death",2021-03-16,"PL","Poland","point",NA,48007.3068646484
2021-03-14,"1 day ahead cum death",2021-03-15,"PL","Poland","point",NA,47684.9064247741
2021-03-14,"0 day ahead cum death",2021-03-14,"PL","Poland","observed",NA,47371.8041365579
2021-03-14,"-1 day ahead cum death",2021-03-13,"PL","Poland","observed",NA,47068
2021-03-14,"0 wk ahead inc death",2021-03-13,"PL","Poland","observed",NA,1909
2021-03-14,"1 wk ahead inc death",2021-03-20,"PL","Poland","point",NA,2321.89014072785
2021-03-14,"-1 wk ahead cum death",2021-03-06,"PL","Poland","observed",NA,45159
2021-03-14,"0 wk ahead cum death",2021-03-13,"PL","Poland","observed",NA,47068
2021-03-14,"1 wk ahead cum death",2021-03-20,"PL","Poland","point",NA,49389.8901407278
