forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-22,-1 day ahead inc case,2021-03-21,PL,Poland,observed,NA,21849.0
2021-03-22,-1 day ahead cum case,2021-03-21,PL,Poland,observed,NA,2058186
2021-03-22,0 day ahead inc case,2021-03-22,PL,Poland,observed,NA,14578.0
2021-03-22,0 day ahead cum case,2021-03-22,PL,Poland,observed,NA,2072764
2021-03-22,-1 wk ahead inc case,2021-03-13,PL,Poland,observed,NA,101635.0
2021-03-22,-1 wk ahead cum case,2021-03-13,PL,Poland,observed,NA,1889053
2021-03-22,0 wk ahead inc case,2021-03-20,PL,Poland,observed,NA,141928.0
2021-03-22,0 wk ahead cum case,2021-03-20,PL,Poland,observed,NA,2036337
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,point,NA,20690
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.01,0.0
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.025,0.0
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.05,0.0
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.1,0.0
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.15,0.0
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.2,0.0
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.25,2497.992673041902
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.3,6141.910319909108
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.35,9702.982683951617
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.4,13662.748407183099
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.45,16981.198246745917
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.5,20526.59564829869
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.55,23023.988298227137
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.6,26576.474081800243
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.65,29873.7353710044
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.7,33004.81005733491
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.75,37239.3640655598
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.8,41355.72085713134
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.85,46412.666925856145
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.9,53176.50744641209
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.95,61926.091727182094
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.975,71871.41064541983
2021-03-22,1 day ahead inc case,2021-03-23,PL,Poland,quantile,0.99,79454.672448467
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,point,NA,2092695
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.01,2072764.0
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.025,2072764.0
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.05,2072764.0
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.1,2072764.0
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.15,2072764.0
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.2,2072764.0
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.25,2075261.992673042
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.3,2078905.9103199092
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.35,2082466.9826839515
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.4,2086426.7484071832
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.45,2089745.1982467459
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.5,2093290.5956482987
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.55,2095787.988298227
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.6,2099340.4740818003
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.65,2102637.7353710043
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.7,2105768.810057335
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.75,2110003.3640655596
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.8,2114119.7208571313
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.85,2119176.666925856
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.9,2125940.507446412
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.95,2134690.0917271823
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.975,2144635.4106454197
2021-03-22,1 day ahead cum case,2021-03-23,PL,Poland,quantile,0.99,2152218.672448467
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,point,NA,21455
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.01,0.0
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.025,0.0
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.05,0.0
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.1,0.0
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.15,0.0
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.2,2442.6921451784897
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.25,5582.146744016109
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.3,9649.790960594655
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.35,13271.52688727067
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.4,16249.7592921033
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.45,19173.08145587242
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.5,22221.27988462563
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.55,24945.424120458316
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.6,27995.792030898043
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.65,32267.349284603435
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.7,36136.940740830556
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.75,39887.03425761087
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.8,43927.435783344714
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.85,49200.72121222158
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.9,55200.53206493959
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.95,64378.09456118919
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.975,71785.93562597562
2021-03-22,2 day ahead inc case,2021-03-24,PL,Poland,quantile,0.99,81657.89763716594
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,point,NA,2113385
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.01,2072764.0
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.025,2072764.0
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.05,2072764.0
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.1,2072764.0
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.15,2072764.0
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.2,2075206.6921451786
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.25,2080844.139417058
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.3,2088555.7012805038
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.35,2095738.5095712224
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.4,2102676.5076992866
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.45,2108918.2797026183
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.5,2115511.875532924
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.55,2120733.4124186854
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.6,2127336.2661126982
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.65,2134905.084655608
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.7,2141905.7507981653
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.75,2149890.398323171
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.8,2158047.156640476
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.85,2168377.3881380777
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.9,2181141.039511352
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.95,2199068.186288371
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.975,2216421.3462713957
2021-03-22,2 day ahead cum case,2021-03-24,PL,Poland,quantile,0.99,2233876.570085633
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,point,NA,22221
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.01,0.0
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.025,0.0
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.05,0.0
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.1,0.0
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.15,0.0
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.2,0.0
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.25,4277.311207775136
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.3,8263.86363339992
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.35,11570.114781366137
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.4,14671.72636075969
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.45,17691.614434469342
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.5,21131.707707002508
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.55,25045.400378156563
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.6,29508.137112761102
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.65,33551.95689663754
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.7,36730.66933604736
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.75,41128.94710928829
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.8,45941.639227564585
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.85,51188.498653144685
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.9,57656.58315801532
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.95,67849.49551027361
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.975,76308.85059336612
2021-03-22,3 day ahead inc case,2021-03-25,PL,Poland,quantile,0.99,85712.08727760476
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,point,NA,2134840
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.01,2072764.0
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.025,2072764.0
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.05,2072764.0
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.1,2072764.0
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.15,2072764.0
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.2,2075206.6921451786
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.25,2085121.450624833
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.3,2096819.5649139036
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.35,2107308.6243525883
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.4,2117348.2340600463
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.45,2126609.8941370877
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.5,2136643.583239927
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.55,2145778.812796842
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.6,2156844.403225459
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.65,2168457.041552245
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.7,2178636.420134213
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.75,2191019.345432459
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.8,2203988.7958680405
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.85,2219565.8867912223
2021-03-22,3 day ahead cum case,2021-03-25,PL,Poland,quantile,0.9,2238797.622669367
