forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-22,-1 day ahead inc death,2021-03-21,PL,Poland,observed,NA,140.0
2021-03-22,-1 day ahead cum death,2021-03-21,PL,Poland,observed,NA,49228
2021-03-22,0 day ahead inc death,2021-03-22,PL,Poland,observed,NA,65.0
2021-03-22,0 day ahead cum death,2021-03-22,PL,Poland,observed,NA,49293
2021-03-22,-1 wk ahead inc death,2021-03-13,PL,Poland,observed,NA,1809.0
2021-03-22,-1 wk ahead cum death,2021-03-13,PL,Poland,observed,NA,47001
2021-03-22,0 wk ahead inc death,2021-03-20,PL,Poland,observed,NA,2081.0
2021-03-22,0 wk ahead cum death,2021-03-20,PL,Poland,observed,NA,49088
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,point,NA,357
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.01,0.0
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.025,0.0
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.05,0.0
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.1,0.0
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.15,0.0
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.2,0.0
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.25,83.78382041645229
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.3,146.46215190838956
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.35,194.71242013304231
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.4,250.10547155174595
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.45,300.6052698026893
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.5,346.12271136416905
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.55,400.78441214635245
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.6,466.55304711544323
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.65,525.0594350486394
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.7,575.8756958071654
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.75,652.4911927396694
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.8,718.5874018906493
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.85,839.7604830819589
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.9,916.5536442017392
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.95,1079.2426294067477
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.975,1162.5355597666812
2021-03-22,1 day ahead inc death,2021-03-23,PL,Poland,quantile,0.99,1333.1518636417886
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,point,NA,49640
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.01,49293.0
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.025,49293.0
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.05,49293.0
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.1,49293.0
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.15,49293.0
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.2,49293.0
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.25,49376.78382041645
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.3,49439.46215190839
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.35,49487.712420133044
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.4,49543.105471551746
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.45,49593.60526980269
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.5,49639.12271136417
2021-03-22,1 day ahead cum death,2021-03-23,PL,Poland,quantile,0.55,49693.78441214635
