forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-17,-1 day ahead cum death,2021-03-16,GM,Germany,observed,NA,73700.2479600188
2021-03-17,-1 day ahead inc death,2021-03-16,GM,Germany,observed,NA,217.451455936469
2021-03-17,0 day ahead cum death,2021-03-17,GM,Germany,observed,NA,73920.2709803487
2021-03-17,0 day ahead inc death,2021-03-17,GM,Germany,observed,NA,220.023020330144
2021-03-17,0 wk ahead cum death,2021-03-20,GM,Germany,point,NA,74602.4508309401
2021-03-17,1 day ahead cum death,2021-03-18,GM,Germany,point,NA,74143.506571687
2021-03-17,1 day ahead inc death,2021-03-18,GM,Germany,point,NA,223.235591338345
2021-03-17,1 wk ahead cum death,2021-03-27,GM,Germany,point,NA,76359.9374134783
2021-03-17,10 day ahead cum death,2021-03-27,GM,Germany,point,NA,76359.9374134783
2021-03-17,10 day ahead inc death,2021-03-27,GM,Germany,point,NA,264.039551065923
2021-03-17,10 wk ahead cum death,2021-05-29,GM,Germany,point,NA,90461.3389791153
2021-03-17,100 day ahead cum death,2021-06-25,GM,Germany,point,NA,91484.3950932438
2021-03-17,100 day ahead inc death,2021-06-25,GM,Germany,point,NA,18.1451808311515
2021-03-17,101 day ahead cum death,2021-06-26,GM,Germany,point,NA,91501.5913202665
2021-03-17,101 day ahead inc death,2021-06-26,GM,Germany,point,NA,17.1962270226795
2021-03-17,102 day ahead cum death,2021-06-27,GM,Germany,point,NA,91517.885488323
2021-03-17,102 day ahead inc death,2021-06-27,GM,Germany,point,NA,16.2941680566398
2021-03-17,103 day ahead cum death,2021-06-28,GM,Germany,point,NA,91533.331283776
2021-03-17,103 day ahead inc death,2021-06-28,GM,Germany,point,NA,15.4457954532119
2021-03-17,104 day ahead cum death,2021-06-29,GM,Germany,point,NA,91547.9859164366
2021-03-17,104 day ahead inc death,2021-06-29,GM,Germany,point,NA,14.6546326604724
2021-03-17,105 day ahead cum death,2021-06-30,GM,Germany,point,NA,91561.8802149322
2021-03-17,105 day ahead inc death,2021-06-30,GM,Germany,point,NA,13.8942984955248
2021-03-17,106 day ahead cum death,2021-07-01,GM,Germany,point,NA,91575.0384067472
2021-03-17,106 day ahead inc death,2021-07-01,GM,Germany,point,NA,13.1581918150143
2021-03-17,11 day ahead cum death,2021-03-28,GM,Germany,point,NA,76628.3140486669
2021-03-17,11 day ahead inc death,2021-03-28,GM,Germany,point,NA,268.376635188561
2021-03-17,11 wk ahead cum death,2021-06-05,GM,Germany,point,NA,90872.465514272
2021-03-17,12 day ahead cum death,2021-03-29,GM,Germany,point,NA,76901.1969485836
2021-03-17,12 day ahead inc death,2021-03-29,GM,Germany,point,NA,272.882899916642
2021-03-17,12 wk ahead cum death,2021-06-12,GM,Germany,point,NA,91157.2283544445
2021-03-17,13 day ahead cum death,2021-03-30,GM,Germany,point,NA,77178.5262190096
