forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-17,-1 day ahead cum death,2021-03-16,PL,Poland,observed,NA,47733.6830147888
2021-03-17,-1 day ahead inc death,2021-03-16,PL,Poland,observed,NA,310.672354285349
2021-03-17,0 day ahead cum death,2021-03-17,PL,Poland,observed,NA,48057.2719421102
2021-03-17,0 day ahead inc death,2021-03-17,PL,Poland,observed,NA,323.588927321443
2021-03-17,0 wk ahead cum death,2021-03-20,PL,Poland,point,NA,49115.1952157345
2021-03-17,1 day ahead cum death,2021-03-18,PL,Poland,point,NA,48394.7151191077
2021-03-17,1 day ahead inc death,2021-03-18,PL,Poland,point,NA,337.443176997472
2021-03-17,1 wk ahead cum death,2021-03-27,PL,Poland,point,NA,52147.7699233139
2021-03-17,10 day ahead cum death,2021-03-27,PL,Poland,point,NA,52147.7699233139
2021-03-17,10 day ahead inc death,2021-03-27,PL,Poland,point,NA,482.533142738164
2021-03-17,10 wk ahead cum death,2021-05-29,PL,Poland,point,NA,72509.8696653468
2021-03-17,100 day ahead cum death,2021-06-25,PL,Poland,point,NA,73022.3024098214
2021-03-17,100 day ahead inc death,2021-06-25,PL,Poland,point,NA,7.8703629358326
2021-03-17,101 day ahead cum death,2021-06-26,PL,Poland,point,NA,73029.7601071184
2021-03-17,101 day ahead inc death,2021-06-26,PL,Poland,point,NA,7.45769729698205
2021-03-17,102 day ahead cum death,2021-06-27,PL,Poland,point,NA,73036.8328656992
2021-03-17,102 day ahead inc death,2021-06-27,PL,Poland,point,NA,7.07275858081876
2021-03-17,103 day ahead cum death,2021-06-28,PL,Poland,point,NA,73043.5510872735
2021-03-17,103 day ahead inc death,2021-06-28,PL,Poland,point,NA,6.71822157424153
2021-03-17,104 day ahead cum death,2021-06-29,PL,Poland,point,NA,73049.9422482906
2021-03-17,104 day ahead inc death,2021-06-29,PL,Poland,point,NA,6.39116101698252
2021-03-17,105 day ahead cum death,2021-06-30,PL,Poland,point,NA,73056.0267210831
2021-03-17,105 day ahead inc death,2021-06-30,PL,Poland,point,NA,6.08447279263422
2021-03-17,106 day ahead cum death,2021-07-01,PL,Poland,point,NA,73061.8236423821
2021-03-17,106 day ahead inc death,2021-07-01,PL,Poland,point,NA,5.79692129884789
2021-03-17,11 day ahead cum death,2021-03-28,PL,Poland,point,NA,52646.40949995
2021-03-17,11 day ahead inc death,2021-03-28,PL,Poland,point,NA,498.639576635979
2021-03-17,11 wk ahead cum death,2021-06-05,PL,Poland,point,NA,72730.8891763118
2021-03-17,12 day ahead cum death,2021-03-29,PL,Poland,point,NA,53161.4368184122
2021-03-17,12 day ahead inc death,2021-03-29,PL,Poland,point,NA,515.027318462303
2021-03-17,12 wk ahead cum death,2021-06-12,PL,Poland,point,NA,72874.1943318442
2021-03-17,13 day ahead cum death,2021-03-30,PL,Poland,point,NA,53693.6272663426
2021-03-17,13 day ahead inc death,2021-03-30,PL,Poland,point,NA,532.190447930354
2021-03-17,13 wk ahead cum death,2021-06-19,PL,Poland,point,NA,72967.7471068115
2021-03-17,14 day ahead cum death,2021-03-31,PL,Poland,point,NA,54242.8758393182
2021-03-17,14 day ahead inc death,2021-03-31,PL,Poland,point,NA,549.248572975649
2021-03-17,14 wk ahead cum death,2021-06-26,PL,Poland,point,NA,73029.7601071184
2021-03-17,15 day ahead cum death,2021-04-01,PL,Poland,point,NA,54808.8389315689
2021-03-17,15 day ahead inc death,2021-04-01,PL,Poland,point,NA,565.963092250608
2021-03-17,16 day ahead cum death,2021-04-02,PL,Poland,point,NA,55390.0636998182
2021-03-17,16 day ahead inc death,2021-04-02,PL,Poland,point,NA,581.224768249339
2021-03-17,17 day ahead cum death,2021-04-03,PL,Poland,point,NA,55985.4262477239
2021-03-17,17 day ahead inc death,2021-04-03,PL,Poland,point,NA,595.362547905664
