forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.01,12402.318873600714
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.025,12754.756820588113
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.05,13385.959489716586
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.1,14112.89879233968
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.15,14624.061895917619
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.2,15012.369660334247
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.25,15383.420580743972
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.3,15654.037503138057
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.35,16041.006568389257
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.4,16329.967101806757
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.45,16592.70888131274
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.5,16840.059112649913
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.55,17069.881432837843
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.6,17364.39924977375
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.65,17679.656455120617
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.7,17991.828550238664
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.75,18422.664304170183
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.8,18855.683127130866
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.85,19465.676846220413
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.9,19963.405261957425
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.95,21150.2991244232
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.975,22068.910504922023
2021-03-22,1 wk ahead inc case,2021-03-27,GM01,Baden-Württemberg State,quantile,0.99,23233.42563885299
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.01,13524.287962925868
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.025,14397.560481076203
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.05,15157.435180010138
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.1,16109.355467812227
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.15,16780.95388084025
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.2,17356.31048373289
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.25,17843.451389784153
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.3,18360.88837598926
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.35,18766.993066984942
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.4,19217.778168997214
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.45,19604.147819110396
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.5,20072.460561338885
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.55,20483.304467515954
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.6,20918.686364839763
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.65,21502.27725413404
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.7,21932.225551402844
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.75,22591.568342241793
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.8,23251.69747408543
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.85,23936.533868218787
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.9,24810.355642675462
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.95,26188.113913470894
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.975,28060.852404739304
2021-03-22,1 wk ahead inc case,2021-03-27,GM02,Free State of Bavaria,quantile,0.99,29777.942150023995
2021-03-22,1 wk ahead inc case,2021-03-27,GM16,Berlin State,quantile,0.01,3378.107584718047
2021-03-22,1 wk ahead inc case,2021-03-27,GM16,Berlin State,quantile,0.025,3538.826941008809
2021-03-22,1 wk ahead inc case,2021-03-27,GM16,Berlin State,quantile,0.05,3667.9181012542444
2021-03-22,1 wk ahead inc case,2021-03-27,GM16,Berlin State,quantile,0.1,3838.308321745934
2021-03-22,1 wk ahead inc case,2021-03-27,GM16,Berlin State,quantile,0.15,3987.4036982104367
2021-03-22,1 wk ahead inc case,2021-03-27,GM16,Berlin State,quantile,0.2,4108.959049971116
2021-03-22,1 wk ahead inc case,2021-03-27,GM16,Berlin State,quantile,0.25,4204.778691880511
2021-03-22,1 wk ahead inc case,2021-03-27,GM16,Berlin State,quantile,0.3,4291.417553663106
