forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.01,95.99
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.025,100
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.05,103
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.1,108
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.15,111
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.2,113
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.25,115
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.3,116
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.35,118
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.4,120
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.45,121
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.5,122
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.55,123
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.6,125
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.65,126
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.7,128
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.75,130
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.8,132
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.85,134
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.9,138
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.95,142
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.975,145
2021-03-22,1 wk ahead inc death,2021-03-27,GM01,Baden-Württemberg State,quantile,0.99,149
2021-03-22,1 wk ahead inc death,2021-03-27,GM02,Free State of Bavaria,quantile,0.01,136
