forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.01,15610.869999999999
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.025,16260.1
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.05,16764.8
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.1,17392.7
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.15,17866.350000000002
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.2,18246.8
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.25,18659
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.3,18991.8
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.35,19256.45
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.4,19558.4
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.45,19890.05
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.5,20172
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.55,20456.7
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.6,20734
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.65,20976.35
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.7,21235.6
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.75,21602
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.8,21956.2
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.85,22383
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.9,23029.1
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.95,24049.200000000004
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.975,24908.524999999998
2021-03-22,1 wk ahead inc case,2021-03-27,PL72,Dolnoslaskie,quantile,0.99,25665.889999999996
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.01,8760.5
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.025,9121.2
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.05,9562.550000000001
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.1,10026.6
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.15,10407.5
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.2,10640.4
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.25,10862.5
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.3,11060.4
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.35,11268
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.4,11478.400000000001
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.45,11682.099999999999
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.5,11926.5
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.55,12113.45
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.6,12292.8
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.65,12507.7
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.7,12718
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.75,12894.5
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.8,13123.600000000002
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.85,13432
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.9,13854
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.95,14478.050000000001
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.975,14959.3
2021-03-22,1 wk ahead inc case,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.99,15190.07
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.01,9533.8
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.025,9967.925
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.05,10233.65
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.1,10687.5
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.15,11049.7
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.2,11408.800000000001
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.25,11645.5
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.3,11928.300000000001
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.35,12131.650000000001
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.4,12304.4
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.45,12478.65
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.5,12665.5
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.55,12836.45
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.6,13030.400000000001
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.65,13196.45
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.7,13396.5
2021-03-22,1 wk ahead inc case,2021-03-27,PL74,Lodzkie,quantile,0.75,13591
