forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.01,235
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.025,242
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.05,246
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.1,251
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.15,256
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.2,260
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.25,264
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.3,267
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.35,269
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.4,272
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.45,274
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.5,277
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.55,280
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.6,282
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.65,285
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.7,288
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.75,291
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.8,295
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.85,299
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.9,306
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.95,313
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.975,319
2021-03-22,1 wk ahead inc death,2021-03-27,PL72,Dolnoslaskie,quantile,0.99,328.01
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.01,116.98
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.025,120
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.05,123
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.1,129
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.15,132
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.2,134
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.25,137
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.3,139
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.35,141
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.4,142
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.45,144
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.5,146
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.55,148
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.6,150
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.65,152
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.7,154
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.75,155
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.8,158
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.85,161
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.9,164
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.95,170
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.975,176.02499999999998
2021-03-22,1 wk ahead inc death,2021-03-27,PL73,Kujawsko-Pomorskie,quantile,0.99,183
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.01,123.99
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.025,128
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.05,131
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.1,136
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.15,140
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.2,142
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.25,144
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.3,146
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.35,148
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.4,150
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.45,151.55
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.5,153
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.55,155
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.6,157
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.65,159
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.7,161
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.75,163
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.8,166
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.85,169
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.9,173
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.95,178.05000000000007
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.975,183
2021-03-22,1 wk ahead inc death,2021-03-27,PL74,Lodzkie,quantile,0.99,190.01
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.01,89.99000000000001
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.025,94
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.05,97
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.1,100
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.15,104
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.2,106
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.25,108
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.3,110
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.35,112
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.4,113
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.45,114
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.5,116
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.55,117
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.6,119
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.65,120
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.7,121.30000000000007
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.75,124
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.8,126
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.85,127
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.9,131
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.95,135
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.975,138
2021-03-22,1 wk ahead inc death,2021-03-27,PL75,Lubelskie,quantile,0.99,142
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.01,71
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.025,75
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.05,76
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.1,79
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.15,82
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.2,84
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.25,86
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.3,87
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.35,89
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.4,90
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.45,92
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.5,93
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.55,95
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.6,96
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.65,97
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.7,99
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.75,100
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.8,102
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.85,104
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.9,107
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.95,111
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.975,114
2021-03-22,1 wk ahead inc death,2021-03-27,PL76,Lubuskie,quantile,0.99,118.00999999999999
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.01,164
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.025,171
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.05,175
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.1,182
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.15,186
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.2,189
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.25,191
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.3,194
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.35,196
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.4,198
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.45,200
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.5,202
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.55,204
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.6,206
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.65,208
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.7,211
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.75,214
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.8,217
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.85,220
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.9,224
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.95,229.05000000000007
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.975,235
2021-03-22,1 wk ahead inc death,2021-03-27,PL77,Malopolskie,quantile,0.99,239
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.01,438
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.025,447
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.05,454
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.1,461.9
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.15,468
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.2,473
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.25,477
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.3,481
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.35,485
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.4,487.6
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.45,492
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.5,496
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.55,500
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.6,503
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.65,507
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.7,510
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.75,514
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.8,520
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.85,524
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.9,532
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.95,543
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.975,553
2021-03-22,1 wk ahead inc death,2021-03-27,PL78,Mazowieckie,quantile,0.99,564.01
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.01,51
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.025,55
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.05,58
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.1,60
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.15,62
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.2,64
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.25,65
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.3,67
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.35,68
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.4,69
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.45,70
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.5,71
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.55,73
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.6,74
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.65,75
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.7,76
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.75,78
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.8,79
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.85,81
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.9,83
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.95,86
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.975,89
2021-03-22,1 wk ahead inc death,2021-03-27,PL79,Opolskie,quantile,0.99,92.01999999999998
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.01,122
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.025,127
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.05,130
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.1,134
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.15,138
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.2,141
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.25,144
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.3,146
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.35,148
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.4,150
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.45,151
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.5,153
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.55,155
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.6,157
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.65,158.35000000000002
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.7,161
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.75,163
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.8,165.20000000000005
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.85,168
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.9,172
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.95,177
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.975,182
2021-03-22,1 wk ahead inc death,2021-03-27,PL80,Podkarpackie,quantile,0.99,185.01
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.01,87.99
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.025,91
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.05,95
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.1,99
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.15,102
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.2,105
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.25,106
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.3,108
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.35,110
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.4,111
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.45,113
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.5,114
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.55,116
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.6,118
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.65,120
2021-03-22,1 wk ahead inc death,2021-03-27,PL81,Podlaskie,quantile,0.7,121
