forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-14,-1 day ahead cum death,2021-03-13,PL,Poland,observed,NA,46658
2021-03-14,-1 day ahead inc death,2021-03-13,PL,Poland,observed,NA,351
2021-03-14,-1 wk ahead cum death,2021-03-06,PL,Poland,observed,NA,44849
2021-03-14,-1 wk ahead inc death,2021-03-06,PL,Poland,observed,NA,1518
2021-03-14,0 day ahead cum death,2021-03-14,PL,Poland,observed,NA,47001
2021-03-14,0 day ahead inc death,2021-03-14,PL,Poland,observed,NA,343
2021-03-14,0 wk ahead cum death,2021-03-13,PL,Poland,observed,NA,46658
2021-03-14,0 wk ahead inc death,2021-03-13,PL,Poland,observed,NA,1809
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,point,NA,47330
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,point,NA,329
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,point,NA,49132
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,point,NA,2474
2021-03-14,2 day ahead cum death,2021-03-16,PL,Poland,point,NA,47672
2021-03-14,2 day ahead inc death,2021-03-16,PL,Poland,point,NA,338
2021-03-14,3 day ahead cum death,2021-03-17,PL,Poland,point,NA,48014
2021-03-14,3 day ahead inc death,2021-03-17,PL,Poland,point,NA,337
2021-03-14,4 day ahead cum death,2021-03-18,PL,Poland,point,NA,48366
2021-03-14,4 day ahead inc death,2021-03-18,PL,Poland,point,NA,348
2021-03-14,5 day ahead cum death,2021-03-19,PL,Poland,point,NA,48738
2021-03-14,5 day ahead inc death,2021-03-19,PL,Poland,point,NA,370
2021-03-14,6 day ahead cum death,2021-03-20,PL,Poland,point,NA,49132
2021-03-14,6 day ahead inc death,2021-03-20,PL,Poland,point,NA,394
2021-03-14,7 day ahead cum death,2021-03-21,PL,Poland,point,NA,49530
2021-03-14,7 day ahead inc death,2021-03-21,PL,Poland,point,NA,414
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.01,47240
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.025,47249
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.05,47257
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.1,47268
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.15,47277
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.2,47286
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.25,47295
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.3,47304
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.35,47313
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.4,47320
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.45,47325
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.5,47330
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.55,47335
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.6,47339
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.65,47344
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.7,47348
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.75,47352
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.8,47357
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.85,47362
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.9,47368
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.95,47378
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.975,47386
2021-03-14,1 day ahead cum death,2021-03-15,PL,Poland,quantile,0.99,47394
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.01,239
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.025,248
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.05,256
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.1,267
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.15,276
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.2,285
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.25,294
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.3,303
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.35,312
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.4,319
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.45,324
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.5,329
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.55,334
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.6,338
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.65,343
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.7,347
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.75,351
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.8,356
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.85,361
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.9,367
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.95,377
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.975,385
2021-03-14,1 day ahead inc death,2021-03-15,PL,Poland,quantile,0.99,393
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.01,48829
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.025,48863
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.05,48891
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.1,48929
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.15,48958
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.2,48987
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.25,49020
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.3,49051
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.35,49079
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.4,49100
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.45,49118
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.5,49132
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.55,49144
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.6,49156
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.65,49166
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.7,49177
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.75,49189
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.8,49201
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.85,49214
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.9,49230
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.95,49253
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.975,49271
2021-03-14,1 wk ahead cum death,2021-03-20,PL,Poland,quantile,0.99,49294
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.01,2171
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.025,2205
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.05,2233
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.1,2271
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.15,2300
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.2,2329
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.25,2362
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.3,2393
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.35,2421
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.4,2442
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.45,2460
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.5,2474
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.55,2486
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.6,2498
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.65,2508
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.7,2519
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.75,2531
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.8,2543
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.85,2556
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.9,2572
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.95,2595
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.975,2613
2021-03-14,1 wk ahead inc death,2021-03-20,PL,Poland,quantile,0.99,2636
