forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-14,-1 day ahead cum death,2021-03-13,GM,Germany,observed,NA,73301
2021-03-14,-1 day ahead inc death,2021-03-13,GM,Germany,observed,NA,239
2021-03-14,-1 wk ahead cum death,2021-03-06,GM,Germany,observed,NA,71804
2021-03-14,-1 wk ahead inc death,2021-03-06,GM,Germany,observed,NA,1916
2021-03-14,0 day ahead cum death,2021-03-14,GM,Germany,observed,NA,73371
2021-03-14,0 day ahead inc death,2021-03-14,GM,Germany,observed,NA,70
2021-03-14,0 wk ahead cum death,2021-03-13,GM,Germany,observed,NA,73301
2021-03-14,0 wk ahead inc death,2021-03-13,GM,Germany,observed,NA,1497
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,point,NA,73579
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,point,NA,208
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,point,NA,74569
2021-03-14,1 wk ahead inc death,2021-03-20,GM,Germany,point,NA,1268
2021-03-14,2 day ahead cum death,2021-03-16,GM,Germany,point,NA,73782
2021-03-14,2 day ahead inc death,2021-03-16,GM,Germany,point,NA,203
2021-03-14,3 day ahead cum death,2021-03-17,GM,Germany,point,NA,73975
2021-03-14,3 day ahead inc death,2021-03-17,GM,Germany,point,NA,193
2021-03-14,4 day ahead cum death,2021-03-18,GM,Germany,point,NA,74165
2021-03-14,4 day ahead inc death,2021-03-18,GM,Germany,point,NA,190
2021-03-14,5 day ahead cum death,2021-03-19,GM,Germany,point,NA,74360
2021-03-14,5 day ahead inc death,2021-03-19,GM,Germany,point,NA,194
2021-03-14,6 day ahead cum death,2021-03-20,GM,Germany,point,NA,74569
2021-03-14,6 day ahead inc death,2021-03-20,GM,Germany,point,NA,199
2021-03-14,7 day ahead cum death,2021-03-21,GM,Germany,point,NA,74788
2021-03-14,7 day ahead inc death,2021-03-21,GM,Germany,point,NA,198
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.01,73541
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.025,73548
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.05,73553
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.1,73558
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.15,73562
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.2,73565
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.25,73568
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.3,73570
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.35,73572
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.4,73575
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.45,73577
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.5,73579
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.55,73581
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.6,73583
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.65,73585
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.7,73588
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.75,73590
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.8,73593
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.85,73596
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.9,73600
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.95,73607
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.975,73613
2021-03-14,1 day ahead cum death,2021-03-15,GM,Germany,quantile,0.99,73619
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.01,170
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.025,177
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.05,182
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.1,187
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.15,191
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.2,194
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.25,197
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.3,199
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.35,201
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.4,204
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.45,206
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.5,208
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.55,210
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.6,212
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.65,214
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.7,217
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.75,219
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.8,222
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.85,225
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.9,229
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.95,236
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.975,242
2021-03-14,1 day ahead inc death,2021-03-15,GM,Germany,quantile,0.99,248
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.01,74431
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.025,74446
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.05,74460
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.1,74478
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.15,74491
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.2,74502
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.25,74514
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.3,74526
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.35,74539
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.4,74550
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.45,74560
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.5,74569
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.55,74578
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.6,74586
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.65,74593
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.7,74601
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.75,74609
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.8,74618
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.85,74628
2021-03-14,1 wk ahead cum death,2021-03-20,GM,Germany,quantile,0.9,74639
