"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-15,"-1 wk ahead inc death",2021-03-06,"GM","observed",NA,1916,"Germany"
2021-03-15,"0 wk ahead inc death",2021-03-13,"GM","observed",NA,1497,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","point",NA,1475,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","point",NA,1475,"Germany"
2021-03-15,"3 wk ahead inc death",2021-04-03,"GM","point",NA,1475,"Germany"
2021-03-15,"4 wk ahead inc death",2021-04-10,"GM","point",NA,1475,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.01,861,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.025,943,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.05,1018,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.1,1110,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.15,1174,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.2,1227,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.25,1274,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.3,1317,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.35,1358,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.4,1397,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.45,1436,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.5,1475,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.55,1515,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.6,1556,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.65,1599,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.7,1645,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.75,1696,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.8,1754,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.85,1823,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.9,1913,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.95,2050,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.975,2175,"Germany"
2021-03-15,"1 wk ahead inc death",2021-03-20,"GM","quantile",0.99,2326,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.01,861,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.025,943,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.05,1018,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.1,1110,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.15,1174,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.2,1227,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.25,1274,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.3,1317,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.35,1358,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.4,1397,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.45,1436,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.5,1475,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.55,1515,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.6,1556,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.65,1599,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.7,1645,"Germany"
2021-03-15,"2 wk ahead inc death",2021-03-27,"GM","quantile",0.75,1696,"Germany"
