"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-15,"-1 wk ahead inc case",2021-03-06,"PL","observed",NA,81699,"Poland"
2021-03-15,"0 wk ahead inc case",2021-03-13,"PL","observed",NA,101635,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","point",NA,99321,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","point",NA,99321,"Poland"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL","point",NA,99321,"Poland"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL","point",NA,99321,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.01,50071,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.025,56339,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.05,62152,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.1,69358,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.15,74531,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.2,78827,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.25,82644,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.3,86178,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.35,89542,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.4,92815,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.45,96057,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.5,99321,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.55,102694,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.6,106205,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.65,109806,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.7,113798,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.75,118207,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.8,123117,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.85,129141,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.9,136971,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.95,149090,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.975,160096,"Poland"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","quantile",0.99,173647,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.01,50071,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.025,56339,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.05,62152,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.1,69358,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.15,74531,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.2,78827,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.25,82644,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.3,86178,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.35,89542,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.4,92815,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.45,96057,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.5,99321,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.55,102694,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.6,106205,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.65,109806,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.7,113798,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.75,118207,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.8,123117,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.85,129141,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.9,136971,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.95,149090,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.975,160096,"Poland"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL","quantile",0.99,173647,"Poland"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL","quantile",0.01,50071,"Poland"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL","quantile",0.025,56339,"Poland"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL","quantile",0.05,62152,"Poland"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL","quantile",0.1,69358,"Poland"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL","quantile",0.15,74531,"Poland"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL","quantile",0.2,78827,"Poland"
