"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-22,"-1 wk ahead inc case",2021-03-13,"GM","observed",NA,66376,"Germany"
2021-03-22,"0 wk ahead inc case",2021-03-20,"GM","observed",NA,87328,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","point",NA,86500,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","point",NA,86500,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","point",NA,86500,"Germany"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM","point",NA,86500,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.01,56718,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.025,60852,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.05,64569,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.1,69043,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.15,72179,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.2,74738,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.25,76983,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.3,79036,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.35,80972,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.4,82838,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.45,84670,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.5,86500,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.55,88355,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.6,90268,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.65,92274,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.7,94419,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.75,96771,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.8,99435,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.85,102674,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.9,106759,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.95,112999,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.975,118588,"Germany"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM","quantile",0.99,125294,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.01,56718,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.025,60852,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.05,64569,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.1,69043,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.15,72179,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.2,74738,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.25,76983,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.3,79036,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.35,80972,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.4,82838,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.45,84670,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.5,86500,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.55,88355,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.6,90268,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.65,92274,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.7,94419,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.75,96771,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.8,99435,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.85,102674,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.9,106759,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.95,112999,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.975,118588,"Germany"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM","quantile",0.99,125294,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.01,56718,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.025,60852,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.05,64569,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.1,69043,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.15,72179,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.2,74738,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.25,76983,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.3,79036,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.35,80972,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.4,82838,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.45,84670,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.5,86500,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.55,88355,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.6,90268,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.65,92274,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.7,94419,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.75,96771,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.8,99435,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.85,102674,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.9,106759,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.95,112999,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.975,118588,"Germany"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM","quantile",0.99,125294,"Germany"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM","quantile",0.01,56718,"Germany"
