"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-22,"-1 wk ahead inc death",2021-03-13,"PL","observed",NA,1809,"Poland"
2021-03-22,"0 wk ahead inc death",2021-03-20,"PL","observed",NA,2081,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","point",NA,2071,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","point",NA,2071,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","point",NA,2071,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","point",NA,2071,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.01,1529,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.025,1607,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.05,1676,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.1,1759,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.15,1816,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.2,1862,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.25,1902,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.3,1939,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.35,1973,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.4,2006,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.45,2039,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.5,2071,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.55,2103,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.6,2136,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.65,2171,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.7,2208,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.75,2248,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.8,2294,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.85,2348,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.9,2417,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.95,2521,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.975,2614,"Poland"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.99,2725,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.01,1529,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.025,1607,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.05,1676,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.1,1759,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.15,1816,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.2,1862,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.25,1902,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.3,1939,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.35,1973,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.4,2006,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.45,2039,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.5,2071,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.55,2103,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.6,2136,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.65,2171,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.7,2208,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.75,2248,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.8,2294,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.85,2348,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.9,2417,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.95,2521,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.975,2614,"Poland"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","quantile",0.99,2725,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.01,1529,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.025,1607,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.05,1676,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.1,1759,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.15,1816,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.2,1862,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.25,1902,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.3,1939,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.35,1973,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.4,2006,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.45,2039,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.5,2071,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.55,2103,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.6,2136,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.65,2171,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.7,2208,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.75,2248,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.8,2294,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.85,2348,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.9,2417,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.95,2521,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.975,2614,"Poland"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL","quantile",0.99,2725,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.01,1529,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.025,1607,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.05,1676,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.1,1759,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.15,1816,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.2,1862,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.25,1902,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.3,1939,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.35,1973,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.4,2006,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.45,2039,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.5,2071,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.55,2103,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.6,2136,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.65,2171,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.7,2208,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.75,2248,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.8,2294,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.85,2348,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.9,2417,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.95,2521,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.975,2614,"Poland"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL","quantile",0.99,2725,"Poland"
2021-03-22,"-1 wk ahead cum death",2021-03-13,"PL","observed",NA,46658,"Poland"
2021-03-22,"0 wk ahead cum death",2021-03-20,"PL","observed",NA,48739,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","point",NA,50810,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","point",NA,52891,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","point",NA,54972,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","point",NA,57053,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.01,50268,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.025,50346,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.05,50415,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.1,50498,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.15,50555,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.2,50601,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.25,50641,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.3,50678,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.35,50712,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.4,50745,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.45,50778,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.5,50810,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.55,50842,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.6,50875,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.65,50910,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.7,50947,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.75,50987,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.8,51033,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.85,51087,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.9,51156,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.95,51260,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.975,51353,"Poland"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.99,51464,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.01,52101,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.025,52218,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.05,52321,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.1,52442,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.15,52525,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.2,52592,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.25,52650,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.3,52703,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.35,52752,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.4,52799,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.45,52845,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.5,52891,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.55,52936,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.6,52983,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.65,53032,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.7,53084,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.75,53140,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.8,53204,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.85,53278,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.9,53373,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.95,53517,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.975,53643,"Poland"
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.99,53793,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.01,53992,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.025,54139,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.05,54267,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.1,54418,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.15,54521,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.2,54604,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.25,54676,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.3,54741,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.35,54802,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.4,54859,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.45,54916,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.5,54972,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.55,55028,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.6,55085,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.65,55145,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.7,55208,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.75,55277,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.8,55354,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.85,55444,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.9,55559,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.95,55732,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.975,55884,"Poland"
2021-03-22,"3 wk ahead cum death",2021-04-10,"PL","quantile",0.99,56064,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.01,55913,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.025,56085,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.05,56235,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.1,56411,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.15,56531,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.2,56627,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.25,56711,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.3,56786,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.35,56856,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.4,56923,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.45,56988,"Poland"
2021-03-22,"4 wk ahead cum death",2021-04-17,"PL","quantile",0.5,57053,"Poland"
