"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-15,"-1 wk ahead inc case",2021-03-06,"GM01","observed",NA,6660,"Baden-Württemberg State"
2021-03-15,"0 wk ahead inc case",2021-03-13,"GM01","observed",NA,8021,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","point",NA,9455,"Baden-Württemberg State"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","point",NA,11017,"Baden-Württemberg State"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","point",NA,12828,"Baden-Württemberg State"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","point",NA,14959.5,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.01,4890.99,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.025,5487,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.05,6011,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.1,6678.9,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.15,7149.85,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.2,7547.8,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.25,7910,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.3,8235,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.35,8543,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.4,8844,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.45,9145,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.5,9455,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.55,9762,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.6,10078,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.65,10409,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.7,10776,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.75,11174,"Baden-Württemberg State"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.8,11623,"Baden-Württemberg State"
