"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-15,"-1 wk ahead inc case",2021-03-06,"PL72","observed",NA,5296,"Dolnoslaskie"
2021-03-15,"0 wk ahead inc case",2021-03-13,"PL72","observed",NA,7228,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","point",NA,9739,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","point",NA,13023,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","point",NA,17433,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","point",NA,23344.5,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.01,5869,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.025,6384,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.05,6865,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.1,7451,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.15,7862,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.2,8187,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.25,8480,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.3,8749,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.35,9000,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.4,9251,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.45,9494,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.5,9739,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.55,9983,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.6,10242,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.65,10511,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.7,10800,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.75,11115,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.8,11477,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.85,11897,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.9,12452.1,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.95,13293,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.975,14058,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.99,14969.01,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.01,6489.99,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.025,7276.975,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.05,8002,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.1,8959,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.15,9638.85,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.2,10217,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.25,10719,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.3,11199,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.35,11668,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.4,12120,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.45,12573,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.5,13023,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.55,13505,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.6,13999,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.65,14514.35,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.7,15081,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.75,15724,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.8,16467,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.85,17331,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.9,18501,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.95,20391,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.975,22158.025,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.99,24297.01,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.01,7450,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.025,8559.975,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.05,9635,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.1,11050,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.15,12072,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.2,12945,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.25,13749,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.3,14495,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.35,15223,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.4,15965,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.45,16691.55,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.5,17433,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.55,18206.45,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.6,19036.4,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.65,19910.35,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.7,20875,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.75,21949,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.8,23219.2,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.85,24852,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.9,26950.1,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.95,30362.1,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.975,33558,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.99,37815.04,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.01,8836.98,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.025,10306.925,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.05,11791.9,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.1,13778,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.15,15259,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.2,16571,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.25,17755,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.3,18873,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.35,19966,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.4,21087.6,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.45,22204,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.5,23344.5,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.55,24541,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.6,25842,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.65,27240,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.7,28770,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.75,30484,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.8,32549,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.85,35049,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.9,38473.1,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.95,44252,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.975,49991,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.99,57190.03,"Dolnoslaskie"
2021-03-15,"-1 wk ahead cum case",2021-03-06,"PL72","observed",NA,115417,"Dolnoslaskie"
2021-03-15,"0 wk ahead cum case",2021-03-13,"PL72","observed",NA,122645,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","point",NA,132384,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","point",NA,145456,"Dolnoslaskie"
2021-03-15,"3 wk ahead cum case",2021-04-03,"PL72","point",NA,163055,"Dolnoslaskie"
2021-03-15,"4 wk ahead cum case",2021-04-10,"PL72","point",NA,186617,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.01,128514,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.025,129029,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.05,129510,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.1,130096,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.15,130507,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.2,130832,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.25,131125,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.3,131394,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.35,131645,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.4,131896,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.45,132139,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.5,132384,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.55,132628,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.6,132887,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.65,133156,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.7,133445,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.75,133760,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.8,134122,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.85,134542,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.9,135097.1,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.95,135938,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.975,136703,"Dolnoslaskie"
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","quantile",0.99,137614.01,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.01,135636.97,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.025,136902.975,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.05,138039,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.1,139487.9,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.15,140535,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.2,141384,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.25,142155,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.3,142859,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.35,143527,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.4,144178,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.45,144819,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.5,145456,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.55,146133,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.6,146829,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.65,147569,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.7,148375,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.75,149265,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.8,150279,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.85,151467.15,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.9,153104.1,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.95,155536.05,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.975,157852.025,"Dolnoslaskie"
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","quantile",0.99,160725.14,"Dolnoslaskie"
2021-03-15,"3 wk ahead cum case",2021-04-03,"PL72","quantile",0.01,143982.97,"Dolnoslaskie"
2021-03-15,"3 wk ahead cum case",2021-04-03,"PL72","quantile",0.025,146266.975,"Dolnoslaskie"
2021-03-15,"3 wk ahead cum case",2021-04-03,"PL72","quantile",0.05,148468.9,"Dolnoslaskie"
2021-03-15,"3 wk ahead cum case",2021-04-03,"PL72","quantile",0.1,151222,"Dolnoslaskie"
2021-03-15,"3 wk ahead cum case",2021-04-03,"PL72","quantile",0.15,153233.85,"Dolnoslaskie"
2021-03-15,"3 wk ahead cum case",2021-04-03,"PL72","quantile",0.2,154904.8,"Dolnoslaskie"
2021-03-15,"3 wk ahead cum case",2021-04-03,"PL72","quantile",0.25,156362,"Dolnoslaskie"
2021-03-15,"3 wk ahead cum case",2021-04-03,"PL72","quantile",0.3,157748.7,"Dolnoslaskie"
2021-03-15,"3 wk ahead cum case",2021-04-03,"PL72","quantile",0.35,159096,"Dolnoslaskie"
