"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-15,"-1 wk ahead inc death",2021-03-06,"PL72","observed",NA,88,"Dolnoslaskie"
2021-03-15,"0 wk ahead inc death",2021-03-13,"PL72","observed",NA,119,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","point",NA,117,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","point",NA,115,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","point",NA,112,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","point",NA,109,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.01,65,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.025,72,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.05,78,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.1,86,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.15,92,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.2,96,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.25,100,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.3,104,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.35,107,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.4,111,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.45,114,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.5,117,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.55,121,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.6,124,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.65,127,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.7,132,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.75,136,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.8,140,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.85,146,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.9,154,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.95,165,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.975,176,"Dolnoslaskie"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.99,188.009999999995,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.01,49,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.025,58,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.05,65,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.1,74,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.15,81,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.2,87,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.25,92,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.3,97,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.35,101,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.4,106,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.45,110,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.5,115,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.55,119,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.6,124,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.65,129,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.7,135,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.75,141,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.8,149,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.85,157,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.9,169,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.95,187,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.975,205,"Dolnoslaskie"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.99,226,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.01,40,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.025,48,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.05,56,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.1,66,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.15,73,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.2,80,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.25,85,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.3,91,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.35,96,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.4,101,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.45,107,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.5,112,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.55,117,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.6,123,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.65,130,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.7,137,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.75,145,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.8,154,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.85,165,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.9,180,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.95,205,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.975,229,"Dolnoslaskie"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.99,260,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.01,34,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.025,41,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.05,49,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.1,59,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.15,67,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.2,74,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.25,80,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.3,86,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.35,92,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.4,97,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.45,103,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.5,109,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.55,116,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.6,122,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.65,130,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.7,138,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.75,147,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.8,158,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.85,172,"Dolnoslaskie"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.9,191,"Dolnoslaskie"
