"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-22,"-1 wk ahead inc death",2021-03-13,"GM01","observed",NA,157,"Baden-Württemberg State"
2021-03-22,"0 wk ahead inc death",2021-03-20,"GM01","observed",NA,110,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","point",NA,73,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","point",NA,47,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","point",NA,30,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","point",NA,19,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.01,21,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.025,27,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.05,32,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.1,40,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.15,45,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.2,49,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.25,54,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.3,58,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.35,61,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.4,65,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.45,69,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.5,73,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.55,77,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.6,81,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.65,86,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.7,91,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.75,96,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.8,102,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.85,110,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.9,120,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.95,136,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.975,151,"Baden-Württemberg State"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.99,170,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.01,8,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.025,11,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.05,15,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.1,20,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.15,23,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.2,27,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.25,30,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.3,33,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.35,37,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.4,40,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.45,43,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.5,47,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.55,51,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.6,55,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.65,59,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.7,64,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.75,70,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.8,77,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.85,85,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.9,97,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.95,117,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.975,138,"Baden-Württemberg State"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.99,165,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.01,3,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.025,5,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.05,7,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.1,10,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.15,13,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.2,15,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.25,17,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.3,20,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.35,22,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.4,25,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.45,27,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.5,30,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.55,33,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.6,36,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.65,40,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.7,45,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.75,50,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.8,56,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.85,64,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.9,76,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.95,96,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.975,117,"Baden-Württemberg State"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.99,149,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.01,1,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.025,2,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.05,3,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.1,5,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.15,7,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.2,8,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.25,10,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.3,12,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.35,13,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.4,15,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.45,17,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.5,19,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.55,22,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.6,24,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.65,27,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.7,31,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.75,35,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.8,40,"Baden-Württemberg State"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.85,46,"Baden-Württemberg State"
