"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","point",NA,9503
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","Baden-Wurttemberg","point",NA,10961
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","Baden-Wurttemberg","point",NA,12524
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","Baden-Wurttemberg","point",NA,14295
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.01,5115
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.025,5773
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.05,6397
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.1,7079
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.15,7571
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.2,7937
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.25,8242
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.3,8504
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.35,8762
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.4,9014
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.45,9258
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.5,9503
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.55,9740
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.6,9956
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.65,10201
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.7,10448
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.75,10726
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.8,11034
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.85,11417
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.9,11872
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.95,12583
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.975,13149
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","Baden-Wurttemberg","quantile",0.99,13772
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.01,3691
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.025,4409
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.05,5262
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.1,6304
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.15,7094
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.2,7732
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.25,8316
