"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","point",NA,9883
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","point",NA,13133
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","point",NA,17121
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","point",NA,22118
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.01,4693
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.025,5460
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.05,6226
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.1,7001
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.15,7570
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.2,7990
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.25,8366
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.3,8702
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.35,9008
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.4,9296
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.45,9599
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.5,9883
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.55,10172
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.6,10460
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.65,10767
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.7,11067
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.75,11391
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.8,11791
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.85,12225
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.9,12768
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.95,13573
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.975,14294
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.99,15115
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.01,3112
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.025,4096
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.05,5217
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.1,6567
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.15,7580
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.2,8421
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.25,9282
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.3,10094
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.35,10879
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.4,11607
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.45,12361
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.5,13133
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.55,13907
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.6,14801
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.65,15653
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.7,16649
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.75,17808
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.8,19163
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.85,20834
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.9,23058
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.95,26289
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.975,29676
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.99,34205
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.01,1741
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.025,2774
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.05,3945
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.1,5683
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.15,7122
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.2,8384
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.25,9795
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.3,11233
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.35,12657
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.4,14189
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.45,15565
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.5,17121
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.55,18896
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.6,20703
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.65,22896
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.7,25383
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.75,28305
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.8,31793
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.85,36325
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.9,41918
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.95,53493
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.975,64943
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.99,83787
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.01,929
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.025,1624
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.05,2709
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.1,4506
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.15,6285
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.2,8088
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.25,9920
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.3,11907
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.35,14129
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.4,16553
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.45,19146
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.5,22118
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.55,25292
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.6,29180
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.65,33492
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.7,38653
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.75,45018
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.8,53878
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.85,64721
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.9,82185
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.95,113616
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.975,156690
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.99,226075
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","point",NA,132528
2021-03-15,"2 wk ahead cum case",2021-03-27,"PL72","Dolnoslaskie Province","point",NA,145616
2021-03-15,"3 wk ahead cum case",2021-04-03,"PL72","Dolnoslaskie Province","point",NA,162913
2021-03-15,"4 wk ahead cum case",2021-04-10,"PL72","Dolnoslaskie Province","point",NA,185346
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.01,127338
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.025,128105
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.05,128871
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.1,129646
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.15,130215
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.2,130635
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.25,131011
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.3,131347
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.35,131653
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.4,131941
2021-03-15,"1 wk ahead cum case",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.45,132244
