"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","point",NA,85
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","point",NA,82
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","point",NA,80
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","point",NA,78
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.01,38
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.025,46
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.05,52
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.1,59
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.15,65
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.2,69
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.25,72
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.3,75
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.35,78
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.4,80
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.45,83
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.5,85
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.55,87
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.6,90
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.65,93
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.7,95
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.75,98
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.8,101
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.85,105
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.9,109
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.95,116
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.975,123
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.99,130
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.01,36
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.025,44
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.05,51
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.1,58
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.15,62
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.2,66
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.25,69
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.3,72
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.35,75
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.4,77
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.45,80
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.5,82
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.55,84
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.6,87
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.65,89
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.7,92
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.75,95
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.8,98
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.85,102
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.9,107
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.95,114
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.975,119
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","Dolnoslaskie Province","quantile",0.99,126
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.01,37
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.025,43
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.05,50
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.1,56
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.15,61
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.2,64
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.25,68
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.3,70
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.35,73
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.4,75
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.45,78
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.5,80
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.55,82
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.6,85
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.65,87
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.7,90
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.75,92
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.8,96
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.85,99
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.9,104
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.95,110
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.975,115
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","Dolnoslaskie Province","quantile",0.99,122
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.01,36
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.025,42
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.05,48
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.1,54
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.15,59
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.2,63
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.25,66
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.3,68
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.35,71
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.4,73
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.45,76
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.5,78
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.55,80
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.6,82
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.65,85
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.7,87
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.75,90
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.8,92
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.85,96
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.9,100
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.95,107
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.975,112
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","Dolnoslaskie Province","quantile",0.99,119
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL72","Dolnoslaskie Province","point",NA,3025
2021-03-15,"2 wk ahead cum death",2021-03-27,"PL72","Dolnoslaskie Province","point",NA,3107
2021-03-15,"3 wk ahead cum death",2021-04-03,"PL72","Dolnoslaskie Province","point",NA,3187
2021-03-15,"4 wk ahead cum death",2021-04-10,"PL72","Dolnoslaskie Province","point",NA,3265
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.01,2978
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.025,2986
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.05,2992
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.1,2999
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.15,3005
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.2,3009
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL72","Dolnoslaskie Province","quantile",0.25,3012
