"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","point",NA,108
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","Baden-Wurttemberg","point",NA,93
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","Baden-Wurttemberg","point",NA,79
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","Baden-Wurttemberg","point",NA,69
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.01,45
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.025,54
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.05,62
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.1,73
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.15,80
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.2,85
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.25,90
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.3,93
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.35,97
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.4,101
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.45,104
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.5,108
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.55,111
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.6,115
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.65,118
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.7,122
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.75,126
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.8,130
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.85,135
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.9,143
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.95,152
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","Baden-Wurttemberg","quantile",0.975,161
