"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","point",NA,10373.7141819844,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","point",NA,12980.4203549971,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","point",NA,16398.1362679461,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","point",NA,20808.5036150447,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.01,6442.79263300508,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.01,5725.11853544868,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.01,6696.13565195478,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.01,7351.22010116618,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.025,7635.88290152821,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.025,7491.96899484454,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.025,8348.90529379168,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.025,9146.95933854804,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.05,8007.2137891256,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.05,8123.70215975938,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.05,9148.08634085963,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.05,10326.5934642548,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.1,8440.32196000228,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.1,8988.46445236389,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.1,10333.609344321,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.1,12057.9173474875,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.15,8724.51809933411,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.15,9619.88320676629,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.15,11252.3688973519,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.15,13281.0082356388,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.2,8992.8117715526,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.2,10125.5802383021,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.2,12109.5526661874,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.2,14568.0807763999,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.25,9233.91443969828,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.25,10764.8995922943,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.25,12946.8521110224,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.25,15705.5503423211,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.3,9580.63942508382,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.3,11195.8743258121,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.3,13693.4632245741,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.3,16704.413929671,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.35,9772.8891431732,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.35,11610.9913467822,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.35,14344.9634685628,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.35,17780.4280875093,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.4,9967.34137826868,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.4,12029.1324103524,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.4,15010.9405852639,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.4,18794.5929875391,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.45,10205.5593077984,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.45,12519.6881859635,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.45,15691.3099246497,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.45,19901.8985105394,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.5,10373.7141819844,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.5,12980.4203549971,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.5,16398.1362679461,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.5,20808.5036150447,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.55,10614.4216836243,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.55,13355.9449613692,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.55,17061.0787771453,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.55,21947.0191081707,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.6,10807.7364178434,"GM01"
