"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","point",NA,125.855325080056,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","point",NA,147.935306100871,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","point",NA,185.237088601307,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","point",NA,233.509392941986,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.01,74.3323700704801,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.01,84.2348287410483,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.01,89.9758622547169,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.01,83.196533471345,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.025,78.6875677236537,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.025,96.1104808624746,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.025,108.574721606325,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.025,125.144650137242,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.05,83.9823042339524,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.05,103.82992689078,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.05,120.916532797407,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.05,139.231168318849,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.1,91.250947655549,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.1,111.21793655549,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.1,136.565959246893,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.1,157.154618364005,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.15,98.1310261633542,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.15,117.978171310646,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.15,144.919690297968,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.15,173.881873860689,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.2,105.18690934378,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.2,123.508867137394,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.2,151.426969811061,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.2,185.231022924662,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.25,110.532501689356,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.25,127.259841560874,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.25,156.753650547334,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.25,193.882803742504,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.3,113.804822848398,"GM01"
