"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","point",NA,16792.0822261653,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","point",NA,22485.740133685,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","point",NA,30149.2085757329,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","point",NA,39479.0948719615,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.01,9800.90265122539,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.01,10556.7307449025,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.01,11054.483483853,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.01,11978.0727894036,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.025,10703.3933213773,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.025,11624.6500845877,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.025,12371.9875218839,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.025,13627.7934359847,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.05,11768.2382435237,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.05,13232.1625695125,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.05,15008.5487761438,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.05,16758.0244004975,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.1,13368.5259190164,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.1,15344.9231349306,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.1,17394.9631795627,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.1,19575.7735503158,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.15,14124.8499178538,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.15,16509.0720569292,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.15,19207.088153982,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.15,21843.9782804197,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.2,14619.9036479566,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.2,17575.9755778913,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.2,20861.3621212379,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.2,23998.3560420357,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.25,15050.4466481944,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.25,18482.5266000393,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.25,22322.217361026,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.25,26124.5506781157,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.3,15427.9472233715,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.3,19304.980053002,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.3,23764.2670439189,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.3,28406.6911420075,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.35,15784.4226139836,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.35,20063.1961086867,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.35,25243.5973085343,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.35,30863.6668033627,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.4,16132.7479515198,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.4,20858.7514433225,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.4,26840.3209082854,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.4,33459.502665247,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.45,16475.9472399649,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.45,21677.1011422027,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.45,28523.5610977152,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.45,36350.9870117017,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.5,16792.0822261653,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.5,22485.740133685,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.5,30149.2085757329,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.5,39479.0948719615,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.55,17171.1932039511,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.55,23527.2275630978,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.55,32049.0506712693,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.55,42672.1631978178,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.6,17547.3194353099,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.6,24393.8627440801,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.6,34040.4204518117,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.6,46518.9920400932,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.65,17964.597265143,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.65,25432.3888594403,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.65,36180.0352780973,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.65,51074.3559994708,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.7,18443.3520676353,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.7,26438.7244738215,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.7,38641.7603269129,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.7,56071.2346931008,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.75,18861.9512240798,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.75,27563.302510784,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.75,41289.6885489864,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.75,62360.0652632657,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.8,19457.2531100147,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.8,28755.4864616303,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.8,44834.7853308479,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.8,70265.2097531346,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.85,20043.3545830976,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.85,30236.383601132,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.85,48771.332918987,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.85,80901.5374616814,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.9,20790.181049996,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.9,32161.0862631019,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.9,54591.1492688634,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.9,96746.6685363535,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.95,21754.2384616651,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.95,35561.4888705619,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.95,63722.3847854969,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.95,125226.118166903,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.975,22696.1783981141,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.975,38540.3094117034,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.975,72966.1320760404,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.975,156511.535261256,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.99,23622.6557671497,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.99,41821.1652322403,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.99,85813.6433617869,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.99,212121.853248122,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL73","point",NA,11060.5073287403,"PL73"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL73","point",NA,13989.0682314482,"PL73"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL73","point",NA,17120.533318189,"PL73"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL73","point",NA,20173.483836708,"PL73"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL73","quantile",0.01,7717.86218575708,"PL73"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL73","quantile",0.01,8440.67630428543,"PL73"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL73","quantile",0.01,8422.58430888356,"PL73"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL73","quantile",0.01,8598.65131246543,"PL73"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL73","quantile",0.025,7940.16072921632,"PL73"
