"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","point",NA,120.105353509861,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","point",NA,137.833874205905,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","point",NA,155.680802595735,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","point",NA,178.80560959017,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.01,71.2290503562235,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.01,77.2968686570251,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.01,58.9392348280327,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.01,54.2828476766291,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.025,80.7632009304283,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.025,90.4789811359802,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.025,95.6201277781187,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.025,75.7541961926524,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.05,89.5027585713704,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.05,95.7543552151606,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.05,104.595615304144,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.05,102.819701695834,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.1,94.7947148294117,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.1,104.113532610511,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.1,112.675318726754,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.1,123.38359293996,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.15,98.6554582203537,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.15,111.588506883123,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.15,122.623908409579,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.15,132.025668472385,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.2,102.655458220354,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.2,115.960073017714,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.2,128.083393159195,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.2,139.05714391591,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.25,106.347330636268,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.25,121.15458210885,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.25,132.700438725293,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.25,149.478618189123,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.3,108.335151939031,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.3,124.645040086835,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.3,138.393591862842,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.3,154.422934961437,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.35,111.148628105513,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.35,127.44214411646,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.35,142.746073953403,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.35,162.414598429104,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.4,114.220252724446,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.4,129.994759923316,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.4,148.439227090951,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.4,167.771073148473,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.45,117.413481093947,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.45,134.197455082879,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.45,152.693182103783,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.45,172.997758048847,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.5,120.105353509861,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.5,137.833874205905,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.5,155.680802595735,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.5,178.80560959017,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.55,123.737780004078,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.55,141.078362428675,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.55,160.05487982669,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.55,183.563113016068,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.6,127.002632992512,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.6,144.350621648931,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.6,163.414066453233,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.6,188.144029829427,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.65,129.622880789493,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.65,147.191579300003,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.65,167.215163111667,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.65,192.819329297673,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.7,132.748477168869,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.7,150.436067522773,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.7,171.147330310731,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.7,197.170329855789,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.75,136.001151460066,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.75,156.717091837252,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.75,180.062061841062,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.75,210.521685322526,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.8,141.337629067434,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.8,164.890172630845,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.8,188.299522046992,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.8,219.015763431684,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.85,146.72955996769,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.85,171.791444742305,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.85,196.488645678959,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.85,235.418937884691,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.9,151.846970278638,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.9,181.456213888611,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.9,212.029065199564,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.9,251.148524236417,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.95,160.491575470091,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.95,197.796901314544,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.95,232.712733958035,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.95,271.642598831727,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.975,168.012065814614,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.975,208.492816706172,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.975,240.37882702513,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.975,285.136447006087,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL72","quantile",0.99,179.761684704835,"PL72"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL72","quantile",0.99,214.706242998486,"PL72"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL72","quantile",0.99,260.248282667213,"PL72"
2021-03-22,"4 wk ahead inc death",2021-04-17,"PL72","quantile",0.99,302.663155609521,"PL72"
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL73","point",NA,141.664131051625,"PL73"
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL73","point",NA,166.767983446787,"PL73"
2021-03-22,"3 wk ahead inc death",2021-04-10,"PL73","point",NA,194.983769508684,"PL73"
