"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","point",NA,10452.5,"PL72"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","point",NA,13529.25,"PL72"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","point",NA,17389.875,"PL72"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","point",NA,21864.25,"PL72"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.01,5509.9525,"PL72"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.01,5607.9,"PL72"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.01,6020.5675,"PL72"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.01,5614.0975,"PL72"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.025,5899.4,"PL72"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.025,6509.5625,"PL72"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.025,7461.04375,"PL72"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.025,6984.1375,"PL72"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.05,6719.575,"PL72"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.05,7550.4125,"PL72"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.05,8929.3375,"PL72"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.05,9260.7875,"PL72"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.1,7878.175,"PL72"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.1,9062.6,"PL72"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.1,10419.8,"PL72"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.1,11544.175,"PL72"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.15,8344.675,"PL72"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.15,9727.7125,"PL72"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.15,11429.325,"PL72"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.15,12911.5875,"PL72"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.2,8753.4,"PL72"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.2,10386.6,"PL72"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.2,12356.7,"PL72"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.2,14270.45,"PL72"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.25,9134.75,"PL72"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.25,11053.125,"PL72"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.25,13224.25,"PL72"
2021-03-15,"4 wk ahead inc case",2021-04-10,"PL72","quantile",0.25,15483.5625,"PL72"
2021-03-15,"1 wk ahead inc case",2021-03-20,"PL72","quantile",0.3,9486.625,"PL72"
2021-03-15,"2 wk ahead inc case",2021-03-27,"PL72","quantile",0.3,11599.45,"PL72"
2021-03-15,"3 wk ahead inc case",2021-04-03,"PL72","quantile",0.3,14077.175,"PL72"
