"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","point",NA,164.375,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","point",NA,209.75,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","point",NA,257.25,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","point",NA,312.625,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.01,104.245,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.01,114.245,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.01,101.9775,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.01,112.73,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.025,119.75,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.025,126.75,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.025,112.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.025,127.98125,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.05,128.25,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.05,147,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.05,143.725,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.05,152.7375,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.1,133.725,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.1,161,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.1,165.725,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.1,194.45,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.15,140.5,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.15,170,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.15,178,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.15,212.25,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.2,144,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.2,175.75,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.2,190.75,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.2,227.5,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.25,148.25,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.25,182.5,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.25,211.75,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.25,242,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.3,152.75,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.3,187.25,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.3,223.25,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.3,264.25,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.35,155.75,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.35,192.25,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.35,231.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.35,276.9125,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.4,158.75,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.4,199.25,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.4,240.65,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.4,288.75,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.45,161.5,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.45,204.5,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.45,249.75,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.45,298.775,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.5,164.375,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.5,209.75,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.5,257.25,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.5,312.625,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.55,167.75,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.55,213.75,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.55,266,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.55,325.8625,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.6,171,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.6,219,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.6,275,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.6,340.5,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.65,174.25,"PL72"
