"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","point",NA,15238.01182253,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","point",NA,19859.617359261,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","point",NA,26597.1212587388,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","point",NA,35436.3367619172,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.01,8407.24377472014,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.01,8706.8304814581,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.01,9302.13414866344,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.01,9687.42844177577,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.025,9056.55136411762,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.025,10136.3097213613,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.025,10635.1413223861,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.025,11123.7201829302,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.05,10175.3518979433,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.05,11315.3511756708,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.05,12745.4178824072,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.05,13524.9970223404,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.1,11081.2797584679,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.1,13675.5110679479,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.1,15200.2576468254,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.1,17021.8662467888,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.15,12456.8123791835,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.15,14998.5190630489,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.15,17012.4587795515,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.15,19289.9706962713,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.2,13150.9939320668,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.2,15854.3821899923,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.2,18502.8685573754,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.2,21891.9534005539,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.25,13508.0441161488,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.25,16539.9275417375,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.25,20182.5062344678,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.25,23996.2370837065,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.3,13843.6675006276,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.3,17237.3597924131,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.3,21739.1382811552,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.3,26209.6451264481,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.35,14205.4413136779,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.35,17888.1065718241,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.35,22934.0692473385,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.35,28307.0124510257,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.4,14608.2334203614,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.4,18525.7635571171,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.4,24153.6257740697,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.4,30651.4302681737,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.45,14969.1017762625,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.45,19164.2704474807,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.45,25292.7178462499,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.45,33200.6295915622,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.5,15238.01182253,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.5,19859.617359261,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.5,26597.1212587388,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.5,35436.3367619172,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.55,15627.1362865676,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.55,20556.5008528637,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.55,27762.5010529317,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.55,37589.0009210053,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.6,16041.8398499547,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.6,21173.9166865093,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.6,29125.1030740513,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.6,40167.854872598,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.65,16358.2512910241,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.65,21853.5215719453,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.65,30557.0592172548,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.65,42635.9891052484,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.7,16709.5257100477,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.7,22783.140170557,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.7,32381.4627253329,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.7,45576.4152505259,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.75,17187.892860834,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.75,23731.20890971,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.75,34260.6554297451,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.75,48794.307403123,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.8,17711.1766254262,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.8,24720.0950410927,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.8,36326.1307910331,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.8,52816.8654179973,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.85,18203.8953692441,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.85,25992.6388432276,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.85,38943.1350157444,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.85,57989.5287799231,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.9,18814.6210523915,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.9,27443.0200898135,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.9,42540.0152931429,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.9,65282.1803086972,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.95,19849.2198248846,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.95,29712.9539510356,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.95,47446.5792170083,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.95,77670.8508485171,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.975,21076.8021009844,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.975,31737.8931793664,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.975,52586.115912135,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.975,87856.4710990681,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM01","quantile",0.99,22225.5051277706,"GM01"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM01","quantile",0.99,33536.306754654,"GM01"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM01","quantile",0.99,59411.7905258258,"GM01"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM01","quantile",0.99,105633.801829978,"GM01"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","point",NA,18488.4921122678,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","point",NA,22939.2391329319,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","point",NA,29419.9831722062,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","point",NA,37814.6772503382,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.01,9487.97759258517,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.01,9467.89898772015,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","quantile",0.01,9276.89999966473,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","quantile",0.01,9858.56230266882,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.025,10296.1120962152,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.025,10595.8122899957,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","quantile",0.025,10842.3643774109,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","quantile",0.025,11612.2662277377,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.05,11541.747036002,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.05,11991.0993394472,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","quantile",0.05,13276.0345706458,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","quantile",0.05,14078.0325175737,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.1,12467.4710935624,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.1,13995.338565932,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","quantile",0.1,15421.6760960802,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","quantile",0.1,17711.9454971711,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.15,13145.830776168,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.15,16052.4935920752,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","quantile",0.15,17839.857035949,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","quantile",0.15,20254.1754800002,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.2,14204.3420967466,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.2,17689.4250819151,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","quantile",0.2,19608.2056297198,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","quantile",0.2,22827.83686803,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.25,14934.4502779568,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.25,18687.7926632388,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","quantile",0.25,21230.0366623931,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","quantile",0.25,25364.6040070843,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.3,16043.6776751979,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.3,19575.9652195215,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","quantile",0.3,22772.6387726193,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","quantile",0.3,27630.5392996538,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.35,16929.098613397,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.35,20455.1782993849,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","quantile",0.35,24288.751520974,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","quantile",0.35,30035.5566807881,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.4,17393.4756337994,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.4,21369.459419792,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","quantile",0.4,26453.0401179336,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","quantile",0.4,32235.9610492294,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.45,18020.7495638221,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.45,22174.0840501745,"GM02"
2021-03-22,"3 wk ahead inc case",2021-04-10,"GM02","quantile",0.45,27906.9452687562,"GM02"
2021-03-22,"4 wk ahead inc case",2021-04-17,"GM02","quantile",0.45,35330.0037912104,"GM02"
2021-03-22,"1 wk ahead inc case",2021-03-27,"GM02","quantile",0.5,18488.4921122678,"GM02"
2021-03-22,"2 wk ahead inc case",2021-04-03,"GM02","quantile",0.5,22939.2391329319,"GM02"
