"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","point",NA,121,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","point",NA,135.6,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","point",NA,162.6,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","point",NA,198.2,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.01,70.398,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.01,74.8,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.01,76.398,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.01,67.6,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.025,74.8,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.025,85.8,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.025,92.595,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.025,104.2,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.05,80,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.05,93,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.05,103.58,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.05,115.98,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.1,87.2,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.1,100.18,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.1,117.78,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.1,131.4,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.15,93.8,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.15,106.8,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.15,125.6,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.15,146,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.2,100.4,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.2,112,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.2,131.6,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.2,155.96,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.25,105.6,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.25,115.6,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.25,136.55,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.25,163.6,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.3,108.8,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.3,119.4,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.3,142.2,"GM01"
