"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","point",NA,10784,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","point",NA,14620.9032861501,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","point",NA,18623.5428650275,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","point",NA,23735.170557835,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.01,6546.9,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.01,7601.67288625186,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.01,7202.76735023518,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.01,7161.22133021699,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.025,7121.4,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.025,8433.90995296118,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.025,8506.84048503624,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.025,8825.77035093189,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.05,7450.8,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.05,9309.32926877751,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.05,9758.82239789146,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.05,10807.8571358673,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.1,8258.4,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.1,10338.103734461,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.1,11612.872222496,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.1,13377.72978858,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.15,8655.5,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.15,11070,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.15,12730.972103485,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.15,14995.1693124753,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.2,9119,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.2,11533,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.2,13864.1088701178,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.2,16447,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.25,9474,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.25,12141,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.25,14725,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.25,18075,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.3,9744.8,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.3,12656,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.3,15634,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.3,19489,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.35,10018.6,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.35,13126,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.35,16548.5775120675,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.35,20757.4604920481,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.4,10245.8,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.4,13545,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.4,17235.5190546216,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.4,21700.0779174422,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.45,10516.1,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.45,14062,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.45,17945.3541680474,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.45,22744.7243547216,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.5,10784,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.5,14620.9032861501,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.5,18623.5428650275,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.5,23735.170557835,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.55,11021.8,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.55,15042.9541872871,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.55,19220.6086734087,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.55,24852.9751874178,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.6,11293.2,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.6,15472.9972834818,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.6,19976.1364387653,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.6,25829.5220022436,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.65,11494.7,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.65,15916.3333268718,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.65,20675.9804435197,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.65,27063.274946347,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.7,11813.4,"GM01"
2021-03-15,"2 wk ahead inc case",2021-03-27,"GM01","quantile",0.7,16360.9078278599,"GM01"
2021-03-15,"3 wk ahead inc case",2021-04-03,"GM01","quantile",0.7,21571.293363112,"GM01"
2021-03-15,"4 wk ahead inc case",2021-04-10,"GM01","quantile",0.7,28071.00933441,"GM01"
2021-03-15,"1 wk ahead inc case",2021-03-20,"GM01","quantile",0.75,12071.8,"GM01"
