"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","point",NA,155.5,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","point",NA,202,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","point",NA,244.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","point",NA,290.5,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.01,80.5,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.01,84,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.01,69,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.01,65,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.025,103.5,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.025,96.5,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.025,73.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.025,70,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.05,114.5,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.05,126.5,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.05,98.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.05,95,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.1,119,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.1,143,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.1,124.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.1,146,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.15,127,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.15,154,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.15,136.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.15,162,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.2,130,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.2,159,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.2,151.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.2,175.5,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.25,136,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.25,167.5,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.25,185.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.25,192.5,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.3,142,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.3,173,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.3,201,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.3,227,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.35,145,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.35,179,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.35,210,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.35,244.5,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.4,149,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.4,188.5,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.4,222,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.4,259.5,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.45,152,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.45,195.5,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.45,234.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.45,271.5,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.5,155.5,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.5,202,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.5,244.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.5,290.5,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.55,159.5,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.55,207,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.55,256.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.55,309.5,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.6,163.5,"PL72"
2021-03-15,"2 wk ahead inc death",2021-03-27,"PL72","quantile",0.6,213.5,"PL72"
2021-03-15,"3 wk ahead inc death",2021-04-03,"PL72","quantile",0.6,268.5,"PL72"
2021-03-15,"4 wk ahead inc death",2021-04-10,"PL72","quantile",0.6,331.5,"PL72"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL72","quantile",0.65,167,"PL72"
