"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","point",NA,122,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","point",NA,162,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","point",NA,204,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","point",NA,236,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.01,69,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.01,76,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.01,71,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.01,26,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.025,70,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.025,105,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.025,120,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.025,143,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.05,72,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.05,114,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.05,137,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.05,155,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.1,75,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.1,116,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.1,163,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.1,174,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.15,82,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.15,126,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.15,171,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.15,199,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.2,100,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.2,133,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.2,173,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.2,203,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.25,113,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.25,135,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.25,175,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.25,209,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.3,116,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.3,138,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.3,183,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.3,211,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.35,118,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.35,159,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.35,188,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.35,220,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.4,120,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.4,160,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.4,191,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.4,225,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.45,121,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.45,161,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.45,195,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.45,228,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.5,122,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.5,162,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.5,204,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.5,236,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.55,123,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.55,169,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.55,216,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.55,246,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.6,125,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.6,172,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.6,219,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.6,255,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.65,126,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.65,175,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.65,238,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.65,270,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.7,128,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.7,178,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.7,245,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.7,278,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.75,130,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.75,181,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.75,253,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.75,295,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.8,132,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.8,185,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.8,260,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.8,302,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.85,135,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.85,189,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.85,267,"GM01"
2021-03-22,"4 wk ahead inc death",2021-04-17,"GM01","quantile",0.85,319,"GM01"
2021-03-22,"1 wk ahead inc death",2021-03-27,"GM01","quantile",0.9,143,"GM01"
2021-03-22,"2 wk ahead inc death",2021-04-03,"GM01","quantile",0.9,194,"GM01"
2021-03-22,"3 wk ahead inc death",2021-04-10,"GM01","quantile",0.9,277,"GM01"
