"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","point",NA,15908.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","point",NA,22301.5,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","point",NA,29642.5,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","point",NA,36966,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.01,10088.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.01,10253,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.01,9425.5,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.01,8262,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.025,10771,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.025,11247.5,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.025,10454,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.025,9293.5,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.05,11472.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.05,12422,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.05,12194.5,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.05,13416,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.1,12336,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.1,13902,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.1,14257,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.1,15209.5,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.15,12952.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.15,15119,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.15,16320.5,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.15,15993.5,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.2,13462,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.2,16323.5,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.2,18090,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.2,18205.5,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.25,13919.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.25,17370,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.25,19843,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.25,20628,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.3,14337,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.3,18420,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.3,21610,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.3,23423.5,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.35,14761,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.35,19395,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.35,23419,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.35,26465.5,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.4,15165.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.4,20355.5,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.4,25579,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.4,29577.5,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.45,15553.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.45,21290,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.45,27614.5,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.45,33113,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.5,15908.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.5,22301.5,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.5,29642.5,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.5,36966,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.55,16311.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.55,23484.5,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.55,31968.5,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.55,40437.625,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.6,16687.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.6,24651.5,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.6,33796.9,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.6,42051.5,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.65,17108.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.65,25904,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.65,34818.3,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.65,43443.15,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.7,17535,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.7,26878.35,"PL72"
2021-03-22,"3 wk ahead inc case",2021-04-10,"PL72","quantile",0.7,35845.65,"PL72"
2021-03-22,"4 wk ahead inc case",2021-04-17,"PL72","quantile",0.7,44855.3,"PL72"
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL72","quantile",0.75,17976.5,"PL72"
2021-03-22,"2 wk ahead inc case",2021-04-03,"PL72","quantile",0.75,27508.375,"PL72"
