forecast_date,target,target_end_date,location,type,quantile,value
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,point,NA,15806.8
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.010,8202.9
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.025,9118.0
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.050,10045.8
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.100,10975.5
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.150,11875.0
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.200,12413.6
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.250,12788.8
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.300,13349.3
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.350,13809.2
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.400,14251.2
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.450,14771.8
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.500,15205.0
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.550,15714.8
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.600,16219.8
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.650,16763.6
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.700,17310.8
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.750,18049.8
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.800,18789.2
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.850,19558.8
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.900,20608.7
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.950,22803.8
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.975,24757.1
2021-03-21,1 wk ahead inc case,2021-03-27,GM01,quantile,0.990,27382.1
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,point,NA,22982.4
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.010,9690.6
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.025,11453.0
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.050,12982.5
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.100,14765.2
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.150,16113.5
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.200,17003.6
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.250,17960.8
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.300,18859.8
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.350,19645.0
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.400,20632.0
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.450,21518.8
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.500,22527.0
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.550,23347.0
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.600,24116.2
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.650,25060.1
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.700,26251.5
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.750,27668.8
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.800,28792.6
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.850,30926.8
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.900,32956.2
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.950,36972.8
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.975,41042.3
2021-03-21,2 wk ahead inc case,2021-04-03,GM01,quantile,0.990,43516.1
2021-03-21,3 wk ahead inc case,2021-04-10,GM01,point,NA,33511.9
2021-03-21,3 wk ahead inc case,2021-04-10,GM01,quantile,0.010,12120.7
2021-03-21,3 wk ahead inc case,2021-04-10,GM01,quantile,0.025,14017.9
2021-03-21,3 wk ahead inc case,2021-04-10,GM01,quantile,0.050,16707.7
2021-03-21,3 wk ahead inc case,2021-04-10,GM01,quantile,0.100,20164.3
2021-03-21,3 wk ahead inc case,2021-04-10,GM01,quantile,0.150,22201.3
2021-03-21,3 wk ahead inc case,2021-04-10,GM01,quantile,0.200,23515.2
2021-03-21,3 wk ahead inc case,2021-04-10,GM01,quantile,0.250,25002.2
2021-03-21,3 wk ahead inc case,2021-04-10,GM01,quantile,0.300,26364.3
2021-03-21,3 wk ahead inc case,2021-04-10,GM01,quantile,0.350,28005.5
2021-03-21,3 wk ahead inc case,2021-04-10,GM01,quantile,0.400,29567.2
