forecast_date,target,target_end_date,location,type,quantile,value
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,point,NA,142.9
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.010,98.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.025,102.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.050,107.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.100,113.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.150,118.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.200,123.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.250,126.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.300,130.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.350,133.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.400,136.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.450,139.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.500,142.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.550,145.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.600,148.4
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.650,152.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.700,156.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.750,159.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.800,163.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.850,167.2
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.900,173.1
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.950,185.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.975,193.0
2021-03-21,1 wk ahead inc death,2021-03-27,GM01,quantile,0.990,207.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,point,NA,178.2
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.010,103.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.025,110.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.050,120.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.100,131.9
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.150,139.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.200,146.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.250,152.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.300,157.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.350,161.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.400,167.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.450,171.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.500,176.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.550,182.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.600,187.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.650,192.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.700,199.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.750,205.3
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.800,213.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.850,222.2
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.900,235.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.950,255.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.975,270.0
2021-03-21,2 wk ahead inc death,2021-04-03,GM01,quantile,0.990,288.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,point,NA,240.5
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.010,125.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.025,139.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.050,153.9
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.100,170.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.150,179.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.200,189.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.250,198.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.300,207.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.350,213.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.400,221.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.450,231.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.500,239.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.550,246.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.600,256.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.650,264.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.700,272.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.750,284.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.800,297.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.850,312.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.900,335.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.950,371.0
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.975,401.2
2021-03-21,3 wk ahead inc death,2021-04-10,GM01,quantile,0.990,440.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,point,NA,339.6
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.010,157.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.025,170.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.050,192.9
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.100,217.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.150,235.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.200,254.8
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.250,268.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.300,281.7
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.350,297.6
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.400,311.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.450,322.6
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.500,334.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.550,348.5
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.600,364.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.650,377.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.700,393.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.750,414.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.800,438.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.850,464.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.900,503.3
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.950,586.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.975,648.0
2021-03-21,4 wk ahead inc death,2021-04-17,GM01,quantile,0.990,706.0
2021-03-21,1 wk ahead cum death,2021-03-27,GM01,point,NA,8660.9
2021-03-21,1 wk ahead cum death,2021-03-27,GM01,quantile,0.010,8616.0
2021-03-21,1 wk ahead cum death,2021-03-27,GM01,quantile,0.025,8620.0
2021-03-21,1 wk ahead cum death,2021-03-27,GM01,quantile,0.050,8624.9
2021-03-21,1 wk ahead cum death,2021-03-27,GM01,quantile,0.100,8631.0
2021-03-21,1 wk ahead cum death,2021-03-27,GM01,quantile,0.150,8636.0
2021-03-21,1 wk ahead cum death,2021-03-27,GM01,quantile,0.200,8641.0
