forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-03-10,1 day ahead cum case,2021-03-11,GM,quantile,0.01,2546732.91,Germany
2021-03-10,2 day ahead cum case,2021-03-12,GM,quantile,0.01,2550651.85,Germany
2021-03-10,3 day ahead cum case,2021-03-13,GM,quantile,0.01,2553694.84,Germany
2021-03-10,4 day ahead cum case,2021-03-14,GM,quantile,0.01,2555754.96,Germany
2021-03-10,5 day ahead cum case,2021-03-15,GM,quantile,0.01,2557220.61,Germany
2021-03-10,6 day ahead cum case,2021-03-16,GM,quantile,0.01,2559425.34,Germany
2021-03-10,7 day ahead cum case,2021-03-17,GM,quantile,0.01,2567079.35,Germany
2021-03-10,8 day ahead cum case,2021-03-18,GM,quantile,0.01,2572526.3,Germany
2021-03-10,9 day ahead cum case,2021-03-19,GM,quantile,0.01,2576642.4,Germany
2021-03-10,10 day ahead cum case,2021-03-20,GM,quantile,0.01,2579786.95,Germany
2021-03-10,11 day ahead cum case,2021-03-21,GM,quantile,0.01,2581956.09,Germany
2021-03-10,12 day ahead cum case,2021-03-22,GM,quantile,0.01,2583377.31,Germany
2021-03-10,13 day ahead cum case,2021-03-23,GM,quantile,0.01,2585842.64,Germany
2021-03-10,14 day ahead cum case,2021-03-24,GM,quantile,0.01,2593873.47,Germany
2021-03-10,15 day ahead cum case,2021-03-25,GM,quantile,0.01,2599423.23,Germany
2021-03-10,16 day ahead cum case,2021-03-26,GM,quantile,0.01,2603570.54,Germany
2021-03-10,17 day ahead cum case,2021-03-27,GM,quantile,0.01,2606692.19,Germany
2021-03-10,18 day ahead cum case,2021-03-28,GM,quantile,0.01,2609189.01,Germany
2021-03-10,19 day ahead cum case,2021-03-29,GM,quantile,0.01,2610840.51,Germany
2021-03-10,20 day ahead cum case,2021-03-30,GM,quantile,0.01,2613325.69,Germany
2021-03-10,21 day ahead cum case,2021-03-31,GM,quantile,0.01,2621343.85,Germany
2021-03-10,22 day ahead cum case,2021-04-01,GM,quantile,0.01,2626909.19,Germany
2021-03-10,23 day ahead cum case,2021-04-02,GM,quantile,0.01,2631307.16,Germany
2021-03-10,24 day ahead cum case,2021-04-03,GM,quantile,0.01,2634641.56,Germany
2021-03-10,25 day ahead cum case,2021-04-04,GM,quantile,0.01,2636936.89,Germany
2021-03-10,26 day ahead cum case,2021-04-05,GM,quantile,0.01,2638547.23,Germany
2021-03-10,27 day ahead cum case,2021-04-06,GM,quantile,0.01,2640413.97,Germany
2021-03-10,28 day ahead cum case,2021-04-07,GM,quantile,0.01,2647659.88,Germany
2021-03-10,29 day ahead cum case,2021-04-08,GM,quantile,0.01,2652082.14,Germany
2021-03-10,30 day ahead cum case,2021-04-09,GM,quantile,0.01,2656316.04,Germany
2021-03-10,31 day ahead cum case,2021-04-10,GM,quantile,0.01,2658927.83,Germany
2021-03-10,32 day ahead cum case,2021-04-11,GM,quantile,0.01,2660638.26,Germany
2021-03-10,33 day ahead cum case,2021-04-12,GM,quantile,0.01,2661920.87,Germany
2021-03-10,34 day ahead cum case,2021-04-13,GM,quantile,0.01,2663988.86,Germany
2021-03-10,35 day ahead cum case,2021-04-14,GM,quantile,0.01,2670493.63,Germany
2021-03-10,36 day ahead cum case,2021-04-15,GM,quantile,0.01,2674418.85,Germany
2021-03-10,37 day ahead cum case,2021-04-16,GM,quantile,0.01,2677265.11,Germany
2021-03-10,38 day ahead cum case,2021-04-17,GM,quantile,0.01,2679801.55,Germany
2021-03-10,39 day ahead cum case,2021-04-18,GM,quantile,0.01,2681091.61,Germany
2021-03-10,40 day ahead cum case,2021-04-19,GM,quantile,0.01,2682048.93,Germany
2021-03-10,41 day ahead cum case,2021-04-20,GM,quantile,0.01,2683721.39,Germany
2021-03-10,42 day ahead cum case,2021-04-21,GM,quantile,0.01,2688860.23,Germany
2021-03-10,43 day ahead cum case,2021-04-22,GM,quantile,0.01,2692082.55,Germany
2021-03-10,44 day ahead cum case,2021-04-23,GM,quantile,0.01,2694649.4,Germany
2021-03-10,45 day ahead cum case,2021-04-24,GM,quantile,0.01,2696344.24,Germany
2021-03-10,46 day ahead cum case,2021-04-25,GM,quantile,0.01,2697401.23,Germany
2021-03-10,47 day ahead cum case,2021-04-26,GM,quantile,0.01,2698085.27,Germany
2021-03-10,48 day ahead cum case,2021-04-27,GM,quantile,0.01,2699210.65,Germany
2021-03-10,1 day ahead cum case,2021-03-11,GM,quantile,0.025,2547230,Germany
2021-03-10,2 day ahead cum case,2021-03-12,GM,quantile,0.025,2551664.8,Germany
2021-03-10,3 day ahead cum case,2021-03-13,GM,quantile,0.025,2555061.725,Germany
2021-03-10,4 day ahead cum case,2021-03-14,GM,quantile,0.025,2557512.7,Germany
2021-03-10,5 day ahead cum case,2021-03-15,GM,quantile,0.025,2559374.25,Germany
2021-03-10,6 day ahead cum case,2021-03-16,GM,quantile,0.025,2562100.375,Germany
2021-03-10,7 day ahead cum case,2021-03-17,GM,quantile,0.025,2570838.375,Germany
2021-03-10,8 day ahead cum case,2021-03-18,GM,quantile,0.025,2576886.7,Germany
2021-03-10,9 day ahead cum case,2021-03-19,GM,quantile,0.025,2582025.45,Germany
2021-03-10,10 day ahead cum case,2021-03-20,GM,quantile,0.025,2585736,Germany
2021-03-10,11 day ahead cum case,2021-03-21,GM,quantile,0.025,2588438.375,Germany
2021-03-10,12 day ahead cum case,2021-03-22,GM,quantile,0.025,2590461.075,Germany
2021-03-10,13 day ahead cum case,2021-03-23,GM,quantile,0.025,2593462.725,Germany
2021-03-10,14 day ahead cum case,2021-03-24,GM,quantile,0.025,2602478.075,Germany
2021-03-10,15 day ahead cum case,2021-03-25,GM,quantile,0.025,2608441.525,Germany
2021-03-10,16 day ahead cum case,2021-03-26,GM,quantile,0.025,2613247,Germany
2021-03-10,17 day ahead cum case,2021-03-27,GM,quantile,0.025,2617255.025,Germany
2021-03-10,18 day ahead cum case,2021-03-28,GM,quantile,0.025,2619919.4,Germany
2021-03-10,19 day ahead cum case,2021-03-29,GM,quantile,0.025,2621856.75,Germany
2021-03-10,20 day ahead cum case,2021-03-30,GM,quantile,0.025,2624951.8,Germany
2021-03-10,21 day ahead cum case,2021-03-31,GM,quantile,0.025,2633427.2,Germany
2021-03-10,22 day ahead cum case,2021-04-01,GM,quantile,0.025,2639496.775,Germany
2021-03-10,23 day ahead cum case,2021-04-02,GM,quantile,0.025,2644318.7,Germany
2021-03-10,24 day ahead cum case,2021-04-03,GM,quantile,0.025,2648282.675,Germany
2021-03-10,25 day ahead cum case,2021-04-04,GM,quantile,0.025,2651012.825,Germany
2021-03-10,26 day ahead cum case,2021-04-05,GM,quantile,0.025,2652997.65,Germany
2021-03-10,27 day ahead cum case,2021-04-06,GM,quantile,0.025,2655980.675,Germany
2021-03-10,28 day ahead cum case,2021-04-07,GM,quantile,0.025,2664314.675,Germany
2021-03-10,29 day ahead cum case,2021-04-08,GM,quantile,0.025,2670314.55,Germany
2021-03-10,30 day ahead cum case,2021-04-09,GM,quantile,0.025,2674721.725,Germany
2021-03-10,31 day ahead cum case,2021-04-10,GM,quantile,0.025,2678022.05,Germany
2021-03-10,32 day ahead cum case,2021-04-11,GM,quantile,0.025,2680221.425,Germany
2021-03-10,33 day ahead cum case,2021-04-12,GM,quantile,0.025,2681857.575,Germany
2021-03-10,34 day ahead cum case,2021-04-13,GM,quantile,0.025,2684236.175,Germany
2021-03-10,35 day ahead cum case,2021-04-14,GM,quantile,0.025,2691853.25,Germany
2021-03-10,36 day ahead cum case,2021-04-15,GM,quantile,0.025,2697219.725,Germany
2021-03-10,37 day ahead cum case,2021-04-16,GM,quantile,0.025,2700984.775,Germany
2021-03-10,38 day ahead cum case,2021-04-17,GM,quantile,0.025,2703856.275,Germany
2021-03-10,39 day ahead cum case,2021-04-18,GM,quantile,0.025,2706072.05,Germany
2021-03-10,40 day ahead cum case,2021-04-19,GM,quantile,0.025,2707656.85,Germany
2021-03-10,41 day ahead cum case,2021-04-20,GM,quantile,0.025,2709836.45,Germany
2021-03-10,42 day ahead cum case,2021-04-21,GM,quantile,0.025,2716424.9,Germany
2021-03-10,43 day ahead cum case,2021-04-22,GM,quantile,0.025,2721359.65,Germany
2021-03-10,44 day ahead cum case,2021-04-23,GM,quantile,0.025,2725068.95,Germany
2021-03-10,45 day ahead cum case,2021-04-24,GM,quantile,0.025,2728044.625,Germany
2021-03-10,46 day ahead cum case,2021-04-25,GM,quantile,0.025,2729546.025,Germany
2021-03-10,47 day ahead cum case,2021-04-26,GM,quantile,0.025,2730432.375,Germany
2021-03-10,48 day ahead cum case,2021-04-27,GM,quantile,0.025,2731989.425,Germany
2021-03-10,1 day ahead cum case,2021-03-11,GM,quantile,0.05,2547915.6,Germany
2021-03-10,2 day ahead cum case,2021-03-12,GM,quantile,0.05,2552921.65,Germany
