forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-03-10,1 day ahead cum case,2021-03-11,PL,quantile,0.01,1837675.22,Poland
2021-03-10,2 day ahead cum case,2021-03-12,PL,quantile,0.01,1846869.48,Poland
2021-03-10,3 day ahead cum case,2021-03-13,PL,quantile,0.01,1855691.46,Poland
2021-03-10,4 day ahead cum case,2021-03-14,PL,quantile,0.01,1863120.23,Poland
2021-03-10,5 day ahead cum case,2021-03-15,PL,quantile,0.01,1865439.02,Poland
2021-03-10,6 day ahead cum case,2021-03-16,PL,quantile,0.01,1869970.88,Poland
2021-03-10,7 day ahead cum case,2021-03-17,PL,quantile,0.01,1881215.87,Poland
2021-03-10,8 day ahead cum case,2021-03-18,PL,quantile,0.01,1893311.86,Poland
2021-03-10,9 day ahead cum case,2021-03-19,PL,quantile,0.01,1905222.91,Poland
2021-03-10,10 day ahead cum case,2021-03-20,PL,quantile,0.01,1915708.45,Poland
2021-03-10,11 day ahead cum case,2021-03-21,PL,quantile,0.01,1924232.63,Poland
2021-03-10,12 day ahead cum case,2021-03-22,PL,quantile,0.01,1926593.49,Poland
2021-03-10,13 day ahead cum case,2021-03-23,PL,quantile,0.01,1931598.7,Poland
2021-03-10,14 day ahead cum case,2021-03-24,PL,quantile,0.01,1942746.49,Poland
2021-03-10,15 day ahead cum case,2021-03-25,PL,quantile,0.01,1955488.11,Poland
2021-03-10,16 day ahead cum case,2021-03-26,PL,quantile,0.01,1965592.86,Poland
2021-03-10,17 day ahead cum case,2021-03-27,PL,quantile,0.01,1976207.3,Poland
2021-03-10,18 day ahead cum case,2021-03-28,PL,quantile,0.01,1983848.05,Poland
2021-03-10,19 day ahead cum case,2021-03-29,PL,quantile,0.01,1985876.66,Poland
2021-03-10,20 day ahead cum case,2021-03-30,PL,quantile,0.01,1990550.42,Poland
2021-03-10,21 day ahead cum case,2021-03-31,PL,quantile,0.01,2000740.69,Poland
2021-03-10,22 day ahead cum case,2021-04-01,PL,quantile,0.01,2011317.72,Poland
2021-03-10,23 day ahead cum case,2021-04-02,PL,quantile,0.01,2020613,Poland
2021-03-10,24 day ahead cum case,2021-04-03,PL,quantile,0.01,2027655.15,Poland
2021-03-10,25 day ahead cum case,2021-04-04,PL,quantile,0.01,2033234.05,Poland
2021-03-10,26 day ahead cum case,2021-04-05,PL,quantile,0.01,2035264.4,Poland
2021-03-10,27 day ahead cum case,2021-04-06,PL,quantile,0.01,2039138.56,Poland
2021-03-10,28 day ahead cum case,2021-04-07,PL,quantile,0.01,2047574.75,Poland
2021-03-10,29 day ahead cum case,2021-04-08,PL,quantile,0.01,2055279.78,Poland
2021-03-10,30 day ahead cum case,2021-04-09,PL,quantile,0.01,2062758.1,Poland
2021-03-10,31 day ahead cum case,2021-04-10,PL,quantile,0.01,2071199.01,Poland
2021-03-10,32 day ahead cum case,2021-04-11,PL,quantile,0.01,2077248.21,Poland
2021-03-10,33 day ahead cum case,2021-04-12,PL,quantile,0.01,2078715.47,Poland
2021-03-10,34 day ahead cum case,2021-04-13,PL,quantile,0.01,2083014.8,Poland
2021-03-10,35 day ahead cum case,2021-04-14,PL,quantile,0.01,2091646.56,Poland
2021-03-10,36 day ahead cum case,2021-04-15,PL,quantile,0.01,2097690.83,Poland
2021-03-10,37 day ahead cum case,2021-04-16,PL,quantile,0.01,2104712.01,Poland
2021-03-10,38 day ahead cum case,2021-04-17,PL,quantile,0.01,2109881.65,Poland
2021-03-10,39 day ahead cum case,2021-04-18,PL,quantile,0.01,2113655.11,Poland
2021-03-10,40 day ahead cum case,2021-04-19,PL,quantile,0.01,2114016.54,Poland
2021-03-10,41 day ahead cum case,2021-04-20,PL,quantile,0.01,2115356.33,Poland
2021-03-10,42 day ahead cum case,2021-04-21,PL,quantile,0.01,2121664.74,Poland
2021-03-10,43 day ahead cum case,2021-04-22,PL,quantile,0.01,2126134.58,Poland
2021-03-10,44 day ahead cum case,2021-04-23,PL,quantile,0.01,2131104.15,Poland
2021-03-10,45 day ahead cum case,2021-04-24,PL,quantile,0.01,2136570.18,Poland
2021-03-10,46 day ahead cum case,2021-04-25,PL,quantile,0.01,2140760.54,Poland
2021-03-10,47 day ahead cum case,2021-04-26,PL,quantile,0.01,2142483.95,Poland
2021-03-10,48 day ahead cum case,2021-04-27,PL,quantile,0.01,2144160.65,Poland
2021-03-10,1 day ahead cum case,2021-03-11,PL,quantile,0.025,1838508.875,Poland
2021-03-10,2 day ahead cum case,2021-03-12,PL,quantile,0.025,1848639.8,Poland
2021-03-10,3 day ahead cum case,2021-03-13,PL,quantile,0.025,1858613.925,Poland
2021-03-10,4 day ahead cum case,2021-03-14,PL,quantile,0.025,1866952.925,Poland
2021-03-10,5 day ahead cum case,2021-03-15,PL,quantile,0.025,1869582.25,Poland
2021-03-10,6 day ahead cum case,2021-03-16,PL,quantile,0.025,1875038.25,Poland
2021-03-10,7 day ahead cum case,2021-03-17,PL,quantile,0.025,1887266.85,Poland
