forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-03-10,1 day ahead cum death,2021-03-11,PL,quantile,0.01,46209.99,Poland
2021-03-10,2 day ahead cum death,2021-03-12,PL,quantile,0.01,46429.98,Poland
2021-03-10,3 day ahead cum death,2021-03-13,PL,quantile,0.01,46657.99,Poland
2021-03-10,4 day ahead cum death,2021-03-14,PL,quantile,0.01,46769.98,Poland
2021-03-10,5 day ahead cum death,2021-03-15,PL,quantile,0.01,46805.97,Poland
2021-03-10,6 day ahead cum death,2021-03-16,PL,quantile,0.01,47009.98,Poland
2021-03-10,7 day ahead cum death,2021-03-17,PL,quantile,0.01,47307.99,Poland
2021-03-10,8 day ahead cum death,2021-03-18,PL,quantile,0.01,47518.94,Poland
2021-03-10,9 day ahead cum death,2021-03-19,PL,quantile,0.01,47712.98,Poland
2021-03-10,10 day ahead cum death,2021-03-20,PL,quantile,0.01,47946.91,Poland
2021-03-10,11 day ahead cum death,2021-03-21,PL,quantile,0.01,48033.9,Poland
2021-03-10,12 day ahead cum death,2021-03-22,PL,quantile,0.01,48065.95,Poland
2021-03-10,13 day ahead cum death,2021-03-23,PL,quantile,0.01,48258.99,Poland
2021-03-10,14 day ahead cum death,2021-03-24,PL,quantile,0.01,48494.97,Poland
2021-03-10,15 day ahead cum death,2021-03-25,PL,quantile,0.01,48682.94,Poland
2021-03-10,16 day ahead cum death,2021-03-26,PL,quantile,0.01,48830.87,Poland
2021-03-10,17 day ahead cum death,2021-03-27,PL,quantile,0.01,48994.97,Poland
2021-03-10,18 day ahead cum death,2021-03-28,PL,quantile,0.01,49061.9,Poland
2021-03-10,19 day ahead cum death,2021-03-29,PL,quantile,0.01,49091.97,Poland
2021-03-10,20 day ahead cum death,2021-03-30,PL,quantile,0.01,49251.88,Poland
2021-03-10,21 day ahead cum death,2021-03-31,PL,quantile,0.01,49427.96,Poland
2021-03-10,22 day ahead cum death,2021-04-01,PL,quantile,0.01,49553.98,Poland
2021-03-10,23 day ahead cum death,2021-04-02,PL,quantile,0.01,49673.97,Poland
2021-03-10,24 day ahead cum death,2021-04-03,PL,quantile,0.01,49777.95,Poland
2021-03-10,25 day ahead cum death,2021-04-04,PL,quantile,0.01,49843.85,Poland
2021-03-10,26 day ahead cum death,2021-04-05,PL,quantile,0.01,49884.78,Poland
2021-03-10,27 day ahead cum death,2021-04-06,PL,quantile,0.01,49975.99,Poland
2021-03-10,28 day ahead cum death,2021-04-07,PL,quantile,0.01,50104.99,Poland
2021-03-10,29 day ahead cum death,2021-04-08,PL,quantile,0.01,50185.95,Poland
2021-03-10,30 day ahead cum death,2021-04-09,PL,quantile,0.01,50276.93,Poland
