forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-03-14,1 day ahead cum death,2021-03-15,GM,quantile,0.01,73588,Germany
2021-03-14,2 day ahead cum death,2021-03-16,GM,quantile,0.01,73750.99,Germany
2021-03-14,3 day ahead cum death,2021-03-17,GM,quantile,0.01,73929,Germany
2021-03-14,4 day ahead cum death,2021-03-18,GM,quantile,0.01,74071.99,Germany
2021-03-14,5 day ahead cum death,2021-03-19,GM,quantile,0.01,74247.98,Germany
2021-03-14,6 day ahead cum death,2021-03-20,GM,quantile,0.01,74317.96,Germany
2021-03-14,7 day ahead cum death,2021-03-21,GM,quantile,0.01,74341.99,Germany
2021-03-14,8 day ahead cum death,2021-03-22,GM,quantile,0.01,74476.86,Germany
2021-03-14,9 day ahead cum death,2021-03-23,GM,quantile,0.01,74595.89,Germany
2021-03-14,10 day ahead cum death,2021-03-24,GM,quantile,0.01,74747.99,Germany
2021-03-14,11 day ahead cum death,2021-03-25,GM,quantile,0.01,74858.96,Germany
2021-03-14,12 day ahead cum death,2021-03-26,GM,quantile,0.01,74980,Germany
2021-03-14,13 day ahead cum death,2021-03-27,GM,quantile,0.01,75025.98,Germany
2021-03-14,14 day ahead cum death,2021-03-28,GM,quantile,0.01,75057.96,Germany
2021-03-14,15 day ahead cum death,2021-03-29,GM,quantile,0.01,75149.99,Germany
2021-03-14,16 day ahead cum death,2021-03-30,GM,quantile,0.01,75238.94,Germany
2021-03-14,17 day ahead cum death,2021-03-31,GM,quantile,0.01,75357.97,Germany
2021-03-14,18 day ahead cum death,2021-04-01,GM,quantile,0.01,75452.74,Germany
2021-03-14,19 day ahead cum death,2021-04-02,GM,quantile,0.01,75544.8,Germany
2021-03-14,20 day ahead cum death,2021-04-03,GM,quantile,0.01,75592.95,Germany
2021-03-14,21 day ahead cum death,2021-04-04,GM,quantile,0.01,75611.99,Germany
2021-03-14,22 day ahead cum death,2021-04-05,GM,quantile,0.01,75686.98,Germany
2021-03-14,23 day ahead cum death,2021-04-06,GM,quantile,0.01,75749.95,Germany
2021-03-14,24 day ahead cum death,2021-04-07,GM,quantile,0.01,75827.94,Germany
2021-03-14,25 day ahead cum death,2021-04-08,GM,quantile,0.01,75897.99,Germany
2021-03-14,26 day ahead cum death,2021-04-09,GM,quantile,0.01,75944.99,Germany
2021-03-14,27 day ahead cum death,2021-04-10,GM,quantile,0.01,75962.99,Germany
2021-03-14,28 day ahead cum death,2021-04-11,GM,quantile,0.01,75980.95,Germany
2021-03-14,29 day ahead cum death,2021-04-12,GM,quantile,0.01,76011.98,Germany
2021-03-14,30 day ahead cum death,2021-04-13,GM,quantile,0.01,76068.99,Germany
2021-03-14,31 day ahead cum death,2021-04-14,GM,quantile,0.01,76126.86,Germany
2021-03-14,32 day ahead cum death,2021-04-15,GM,quantile,0.01,76190.85,Germany
2021-03-14,33 day ahead cum death,2021-04-16,GM,quantile,0.01,76225.87,Germany
2021-03-14,34 day ahead cum death,2021-04-17,GM,quantile,0.01,76234.94,Germany
2021-03-14,35 day ahead cum death,2021-04-18,GM,quantile,0.01,76242.98,Germany
2021-03-14,36 day ahead cum death,2021-04-19,GM,quantile,0.01,76290.92,Germany
2021-03-14,37 day ahead cum death,2021-04-20,GM,quantile,0.01,76328.81,Germany
2021-03-14,38 day ahead cum death,2021-04-21,GM,quantile,0.01,76362.96,Germany
