"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-15,"0 day ahead curr ICU",2021-03-15,"GM","Germany","observed",NA,2833
2021-03-15,"1 day ahead curr ICU",2021-03-16,"GM","Germany","point",NA,2902.31564931684
2021-03-15,"2 day ahead curr ICU",2021-03-17,"GM","Germany","point",NA,2983.7748347038
2021-03-15,"3 day ahead curr ICU",2021-03-18,"GM","Germany","point",NA,3076.06931722262
2021-03-15,"4 day ahead curr ICU",2021-03-19,"GM","Germany","point",NA,3180.77684638096
2021-03-15,"5 day ahead curr ICU",2021-03-20,"GM","Germany","point",NA,3299.80775453049
2021-03-15,"6 day ahead curr ICU",2021-03-21,"GM","Germany","point",NA,3423.76463331135
2021-03-15,"7 day ahead curr ICU",2021-03-22,"GM","Germany","point",NA,3564.73932757382
2021-03-15,"8 day ahead curr ICU",2021-03-23,"GM","Germany","point",NA,3717.45508262771
2021-03-15,"9 day ahead curr ICU",2021-03-24,"GM","Germany","point",NA,3888.66127371262
2021-03-15,"10 day ahead curr ICU",2021-03-25,"GM","Germany","point",NA,4061.99425139345
2021-03-15,"11 day ahead curr ICU",2021-03-26,"GM","Germany","point",NA,4248.39287164347
2021-03-15,"12 day ahead curr ICU",2021-03-27,"GM","Germany","point",NA,4454.82873054936
2021-03-15,"13 day ahead curr ICU",2021-03-28,"GM","Germany","point",NA,4641.64659549632
2021-03-15,"14 day ahead curr ICU",2021-03-29,"GM","Germany","point",NA,4818.73621666194
2021-03-15,"15 day ahead curr ICU",2021-03-30,"GM","Germany","point",NA,5034.24019695298
2021-03-15,"16 day ahead curr ICU",2021-03-31,"GM","Germany","point",NA,5281.55581349268
2021-03-15,"17 day ahead curr ICU",2021-04-01,"GM","Germany","point",NA,5591.87316927327
2021-03-15,"18 day ahead curr ICU",2021-04-02,"GM","Germany","point",NA,5894.8098544184
2021-03-15,"19 day ahead curr ICU",2021-04-03,"GM","Germany","point",NA,6225.63610159366
2021-03-15,"20 day ahead curr ICU",2021-04-04,"GM","Germany","point",NA,6534.78744133499
2021-03-15,"21 day ahead curr ICU",2021-04-05,"GM","Germany","point",NA,6856.52551324603
2021-03-15,"22 day ahead curr ICU",2021-04-06,"GM","Germany","point",NA,7222.91971050774
2021-03-15,"23 day ahead curr ICU",2021-04-07,"GM","Germany","point",NA,7561.39974429173
2021-03-15,"24 day ahead curr ICU",2021-04-08,"GM","Germany","point",NA,7990.03845565416
2021-03-15,"25 day ahead curr ICU",2021-04-09,"GM","Germany","point",NA,8403.29161697335
2021-03-15,"26 day ahead curr ICU",2021-04-10,"GM","Germany","point",NA,8944.1686101785
2021-03-15,"27 day ahead curr ICU",2021-04-11,"GM","Germany","point",NA,9449.28319008123
2021-03-15,"28 day ahead curr ICU",2021-04-12,"GM","Germany","point",NA,10001.1338910726
2021-03-15,"29 day ahead curr ICU",2021-04-13,"GM","Germany","point",NA,10625.8630312313
2021-03-15,"30 day ahead curr ICU",2021-04-14,"GM","Germany","point",NA,11255.6528784538
2021-03-15,"1 day ahead curr ICU",2021-03-16,"GM","Germany","quantile","0.01",2225.08221783211
2021-03-15,"2 day ahead curr ICU",2021-03-17,"GM","Germany","quantile","0.01",2205.1865052743
2021-03-15,"3 day ahead curr ICU",2021-03-18,"GM","Germany","quantile","0.01",2186.29992716506
2021-03-15,"4 day ahead curr ICU",2021-03-19,"GM","Germany","quantile","0.01",2173.64153451177
2021-03-15,"5 day ahead curr ICU",2021-03-20,"GM","Germany","quantile","0.01",2146.05744574829
2021-03-15,"6 day ahead curr ICU",2021-03-21,"GM","Germany","quantile","0.01",2135.35644384935
2021-03-15,"7 day ahead curr ICU",2021-03-22,"GM","Germany","quantile","0.01",2122.06738753551
2021-03-15,"8 day ahead curr ICU",2021-03-23,"GM","Germany","quantile","0.01",2098.53769983069
2021-03-15,"9 day ahead curr ICU",2021-03-24,"GM","Germany","quantile","0.01",2085.3354445659
2021-03-15,"10 day ahead curr ICU",2021-03-25,"GM","Germany","quantile","0.01",2056.3077705597
2021-03-15,"11 day ahead curr ICU",2021-03-26,"GM","Germany","quantile","0.01",2057.64551004472
2021-03-15,"12 day ahead curr ICU",2021-03-27,"GM","Germany","quantile","0.01",2020.85959674874
2021-03-15,"13 day ahead curr ICU",2021-03-28,"GM","Germany","quantile","0.01",2010.49772514415
2021-03-15,"14 day ahead curr ICU",2021-03-29,"GM","Germany","quantile","0.01",1995.81566526522
2021-03-15,"15 day ahead curr ICU",2021-03-30,"GM","Germany","quantile","0.01",1969.80670338874
2021-03-15,"16 day ahead curr ICU",2021-03-31,"GM","Germany","quantile","0.01",1971.01479516066
2021-03-15,"17 day ahead curr ICU",2021-04-01,"GM","Germany","quantile","0.01",1957.11726843853
2021-03-15,"18 day ahead curr ICU",2021-04-02,"GM","Germany","quantile","0.01",1940.6352117459
2021-03-15,"19 day ahead curr ICU",2021-04-03,"GM","Germany","quantile","0.01",1933.55955131209
