"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-15,"0 day ahead inc death",2021-03-15,"GM","Germany","observed",NA,212
2021-03-15,"0 day ahead cum death",2021-03-15,"GM","Germany","observed",NA,73427
2021-03-15,"1 day ahead inc death",2021-03-16,"GM","Germany","point",NA,217.579354632455
2021-03-15,"2 day ahead inc death",2021-03-17,"GM","Germany","point",NA,223.855768798173
2021-03-15,"3 day ahead inc death",2021-03-18,"GM","Germany","point",NA,230.547140990035
2021-03-15,"4 day ahead inc death",2021-03-19,"GM","Germany","point",NA,239.658014657541
2021-03-15,"5 day ahead inc death",2021-03-20,"GM","Germany","point",NA,249.362525037645
2021-03-15,"6 day ahead inc death",2021-03-21,"GM","Germany","point",NA,259.612293918416
2021-03-15,"7 day ahead inc death",2021-03-22,"GM","Germany","point",NA,271.588130443564
2021-03-15,"8 day ahead inc death",2021-03-23,"GM","Germany","point",NA,285.089973339871
2021-03-15,"9 day ahead inc death",2021-03-24,"GM","Germany","point",NA,300.665067602542
2021-03-15,"10 day ahead inc death",2021-03-25,"GM","Germany","point",NA,317.119183035498
2021-03-15,"11 day ahead inc death",2021-03-26,"GM","Germany","point",NA,334.729853401075
2021-03-15,"12 day ahead inc death",2021-03-27,"GM","Germany","point",NA,356.450255924313
2021-03-15,"13 day ahead inc death",2021-03-28,"GM","Germany","point",NA,379.346742785337
2021-03-15,"14 day ahead inc death",2021-03-29,"GM","Germany","point",NA,405.619949755494
2021-03-15,"15 day ahead inc death",2021-03-30,"GM","Germany","point",NA,433.050206202319
2021-03-15,"16 day ahead inc death",2021-03-31,"GM","Germany","point",NA,463.301664589497
2021-03-15,"17 day ahead inc death",2021-04-01,"GM","Germany","point",NA,488.388587691386
2021-03-15,"18 day ahead inc death",2021-04-02,"GM","Germany","point",NA,523.710080182927
2021-03-15,"19 day ahead inc death",2021-04-03,"GM","Germany","point",NA,553.660123800834
2021-03-15,"20 day ahead inc death",2021-04-04,"GM","Germany","point",NA,583.941732401799
2021-03-15,"21 day ahead inc death",2021-04-05,"GM","Germany","point",NA,617.08306530201
2021-03-15,"22 day ahead inc death",2021-04-06,"GM","Germany","point",NA,653.864329503414
2021-03-15,"23 day ahead inc death",2021-04-07,"GM","Germany","point",NA,689.856272611481
2021-03-15,"24 day ahead inc death",2021-04-08,"GM","Germany","point",NA,730.674915083618
2021-03-15,"25 day ahead inc death",2021-04-09,"GM","Germany","point",NA,761.43822807458
2021-03-15,"26 day ahead inc death",2021-04-10,"GM","Germany","point",NA,803.765892448145
2021-03-15,"27 day ahead inc death",2021-04-11,"GM","Germany","point",NA,850.242276884867
2021-03-15,"28 day ahead inc death",2021-04-12,"GM","Germany","point",NA,887.076609894008
2021-03-15,"29 day ahead inc death",2021-04-13,"GM","Germany","point",NA,941.24741858775
2021-03-15,"30 day ahead inc death",2021-04-14,"GM","Germany","point",NA,990.691966660175
2021-03-15,"1 day ahead inc death",2021-03-16,"GM","Germany","quantile",0.01,119.703725302429
2021-03-15,"2 day ahead inc death",2021-03-17,"GM","Germany","quantile",0.01,110.800476260018
2021-03-15,"3 day ahead inc death",2021-03-18,"GM","Germany","quantile",0.01,99.9136161503066
