"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-15,"0 day ahead inc case",2021-03-15,"GM","Germany","observed",NA,10093.7142857143
2021-03-15,"0 day ahead cum case",2021-03-15,"GM","Germany","observed",NA,2575849
2021-03-15,"1 day ahead inc case",2021-03-16,"GM","Germany","point",NA,10523.7691839253
2021-03-15,"2 day ahead inc case",2021-03-17,"GM","Germany","point",NA,10988.486503076
2021-03-15,"3 day ahead inc case",2021-03-18,"GM","Germany","point",NA,11492.9001121694
2021-03-15,"4 day ahead inc case",2021-03-19,"GM","Germany","point",NA,12037.978154212
2021-03-15,"5 day ahead inc case",2021-03-20,"GM","Germany","point",NA,12607.0739801338
2021-03-15,"6 day ahead inc case",2021-03-21,"GM","Germany","point",NA,13198.8858656852
2021-03-15,"7 day ahead inc case",2021-03-22,"GM","Germany","point",NA,13850.8715078755
2021-03-15,"8 day ahead inc case",2021-03-23,"GM","Germany","point",NA,14497.163340414
2021-03-15,"9 day ahead inc case",2021-03-24,"GM","Germany","point",NA,15203.9199689739
2021-03-15,"10 day ahead inc case",2021-03-25,"GM","Germany","point",NA,15986.6386133712
2021-03-15,"11 day ahead inc case",2021-03-26,"GM","Germany","point",NA,16745.9615453019
2021-03-15,"12 day ahead inc case",2021-03-27,"GM","Germany","point",NA,17629.2098462104
2021-03-15,"13 day ahead inc case",2021-03-28,"GM","Germany","point",NA,18627.5574798869
2021-03-15,"14 day ahead inc case",2021-03-29,"GM","Germany","point",NA,19549.7101894387
2021-03-15,"15 day ahead inc case",2021-03-30,"GM","Germany","point",NA,20595.0396380406
2021-03-15,"16 day ahead inc case",2021-03-31,"GM","Germany","point",NA,21766.7398300443
2021-03-15,"17 day ahead inc case",2021-04-01,"GM","Germany","point",NA,22998.4846729881
2021-03-15,"18 day ahead inc case",2021-04-02,"GM","Germany","point",NA,24295.7662192785
2021-03-15,"19 day ahead inc case",2021-04-03,"GM","Germany","point",NA,25665.2567831032
2021-03-15,"20 day ahead inc case",2021-04-04,"GM","Germany","point",NA,27315.2671328052
2021-03-15,"21 day ahead inc case",2021-04-05,"GM","Germany","point",NA,28806.5676334395
2021-03-15,"22 day ahead inc case",2021-04-06,"GM","Germany","point",NA,30409.5188509534
2021-03-15,"23 day ahead inc case",2021-04-07,"GM","Germany","point",NA,32442.7628311218
2021-03-15,"24 day ahead inc case",2021-04-08,"GM","Germany","point",NA,34331.1445197896
2021-03-15,"25 day ahead inc case",2021-04-09,"GM","Germany","point",NA,36292.9444338471
2021-03-15,"26 day ahead inc case",2021-04-10,"GM","Germany","point",NA,38338.9916355381
2021-03-15,"27 day ahead inc case",2021-04-11,"GM","Germany","point",NA,40795.8761829328
2021-03-15,"28 day ahead inc case",2021-04-12,"GM","Germany","point",NA,43008.1536131781
2021-03-15,"29 day ahead inc case",2021-04-13,"GM","Germany","point",NA,45669.6402031915
