"forecast_date","target","target_end_date","location","type","quantile","value"
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","point",NA,2198995
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL","point",NA,162668
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.01,2177292
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.025,2180429
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.05,2182966
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.1,2186788
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.15,2189170
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.2,2190586
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.25,2192074
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.3,2193740
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.35,2195064
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.4,2196713
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.45,2197882
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.5,2198995
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.55,2200072
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.6,2201486
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.65,2202659
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.7,2203956
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.75,2205691
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.8,2207290
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.85,2209450
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.9,2211971
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.95,2215762
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.975,2218951
2021-03-22,"1 wk ahead cum case",2021-03-27,"PL","quantile",0.99,2223188
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL","quantile",0.01,140965
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL","quantile",0.025,144102
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL","quantile",0.05,146639
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL","quantile",0.1,150461
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL","quantile",0.15,152843
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL","quantile",0.2,154259
2021-03-22,"1 wk ahead inc case",2021-03-27,"PL","quantile",0.25,155747
