"forecast_date","target","target_end_date","location","type","quantile","value"
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","point",NA,51642
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","point",NA,2553
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.01,51584
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.025,51593
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.05,51602
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.1,51611
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.15,51618
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.2,51622
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.25,51627
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.3,51629
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.35,51632
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.4,51635
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.45,51638
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.5,51642
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.55,51646
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.6,51650
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.65,51653
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.7,51656
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.75,51659
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.8,51663
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.85,51669
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.9,51675
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.95,51683
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.975,51693
2021-03-22,"1 wk ahead cum death",2021-03-27,"PL","quantile",0.99,51703
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.01,2495
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.025,2504
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.05,2513
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.1,2522
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.15,2529
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.2,2533
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.25,2538
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.3,2540
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.35,2543
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.4,2546
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.45,2549
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.5,2553
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.55,2557
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.6,2561
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.65,2564
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.7,2567
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.75,2570
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.8,2574
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.85,2580
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.9,2586
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.95,2594
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.975,2604
2021-03-22,"1 wk ahead inc death",2021-03-27,"PL","quantile",0.99,2614
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","point",NA,54746
2021-03-22,"2 wk ahead inc death",2021-04-03,"PL","point",NA,3103
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.01,54629
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.025,54651
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.05,54666
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.1,54683
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.15,54696
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.2,54705
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.25,54715
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.3,54721
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.35,54728
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.4,54735
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.45,54740
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.5,54746
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.55,54753
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.6,54760
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.65,54767
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.7,54772
2021-03-22,"2 wk ahead cum death",2021-04-03,"PL","quantile",0.75,54779
