forecast_date,target,target_end_date,location,type,quantile,value
2021-03-22,1 wk ahead cum death,2021-03-27,GM,point,NA,76303.0
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.01,75534.91594878772
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.025,75655.8839369751
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.05,75759.92308036218
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.1,75879.87354961614
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.15,75960.80356175566
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.2,76025.12416987056
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.25,76080.30552441759
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.3,76129.8600862523
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.35,76175.77977289817
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.4,76219.35306502917
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.45,76261.5107294355
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.5,76303.0
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.55,76344.4892705645
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.6,76386.64693497083
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.65,76430.22022710183
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.7,76476.1399137477
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.75,76525.69447558241
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.8,76580.87583012944
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.85,76645.19643824434
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.9,76726.12645038386
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.95,76846.07691963782
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.975,76950.1160630249
2021-03-22,1 wk ahead cum death,2021-03-27,GM,quantile,0.99,77071.08405121228
2021-03-22,2 wk ahead cum death,2021-04-03,GM,point,NA,78061.0
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.01,76974.76511773313
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.025,77145.83968724069
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.05,77292.97325483638
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.1,77462.60883526836
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.15,77577.0611560391
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.2,77668.02423237526
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.25,77746.0624523658
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.3,77816.14318578989
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.35,77881.08342942441
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.4,77942.7053701133
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.45,78002.32531087472
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.5,78061.0
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.55,78119.67468912528
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.6,78179.2946298867
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.65,78240.91657057559
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.7,78305.85681421011
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.75,78375.9375476342
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.8,78453.97576762474
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.85,78544.9388439609
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.9,78659.39116473164
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.95,78829.0267451636
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.975,78976.16031275931
2021-03-22,2 wk ahead cum death,2021-04-03,GM,quantile,0.99,79147.23488226687
2021-03-22,3 wk ahead cum death,2021-04-10,GM,point,NA,79709.0
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.01,78378.639398817
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.025,78588.1621004469
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.05,78768.36318276929
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.1,78976.12348990889
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.15,79116.2983827917
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.2,79227.70494402043
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.25,79323.28185372637
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.3,79409.11287257088
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.35,79488.64810290918
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.4,79564.1192587331
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.45,79637.1384754133
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.5,79709.0
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.55,79780.8615245867
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.6,79853.8807412669
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.65,79929.35189709082
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.7,80008.88712742912
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.75,80094.71814627363
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.8,80190.29505597957
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.85,80301.7016172083
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.9,80441.87651009111
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.95,80649.63681723071
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.975,80829.8378995531
2021-03-22,3 wk ahead cum death,2021-04-10,GM,quantile,0.99,81039.360601183
2021-03-22,4 wk ahead cum death,2021-04-17,GM,point,NA,81181.0
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.01,79644.83189757545
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.025,79886.76787395017
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.05,80094.84616072435
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.1,80334.74709923229
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.15,80496.60712351132
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.2,80625.24833974111
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.25,80735.6110488352
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.3,80834.72017250459
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.35,80926.55954579635
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.4,81013.70613005833
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.45,81098.021458871
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.5,81181.0
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.55,81263.978541129
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.6,81348.29386994167
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.65,81435.44045420365
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.7,81527.27982749541
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.75,81626.3889511648
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.8,81736.75166025889
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.85,81865.39287648868
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.9,82027.25290076771
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.95,82267.15383927565
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.975,82475.23212604983
2021-03-22,4 wk ahead cum death,2021-04-17,GM,quantile,0.99,82717.16810242455
2021-03-22,1 wk ahead inc death,2021-03-27,GM,point,NA,1547.0
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.01,778.9159487877187
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.025,899.8839369750931
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.05,1003.9230803621758
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.1,1123.873549616139
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.15,1204.8035617556598
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.2,1269.1241698705562
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.25,1324.305524417592
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.3,1373.8600862523017
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.35,1419.7797728981677
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.4,1463.353065029165
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.45,1505.5107294354966
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.5,1547.0
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.55,1588.4892705645034
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.6,1630.646934970835
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.65,1674.2202271018323
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.7,1720.1399137476983
2021-03-22,1 wk ahead inc death,2021-03-27,GM,quantile,0.75,1769.694475582408
