forecast_date,target,target_end_date,location,type,quantile,value
2021-03-22,1 wk ahead cum death,2021-03-27,PL,point,NA,51088.0
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.01,50187.640950548666
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.025,50329.441346854925
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.05,50451.39751050379
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.1,50592.00515664393
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.15,50686.87246795839
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.2,50762.26999963615
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.25,50826.95436829214
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.3,50885.04293049969
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.35,50938.87064031131
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.4,50989.947873099314
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.45,51039.36568693371
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.5,51088.0
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.55,51136.63431306629
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.6,51186.052126900686
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.65,51237.12935968869
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.7,51290.95706950031
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.75,51349.04563170786
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.8,51413.73000036385
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.85,51489.12753204161
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.9,51583.99484335607
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.95,51724.60248949621
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.975,51846.558653145075
2021-03-22,1 wk ahead cum death,2021-03-27,PL,quantile,0.99,51988.359049451334
2021-03-22,2 wk ahead cum death,2021-04-03,PL,point,NA,53130.0
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.01,51856.70002126057
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.025,52057.23606486676
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.05,52229.708125513986
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.1,52428.55736565873
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.15,52562.720003945506
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.2,52669.34821581365
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.25,52760.8257272405
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.3,52842.975359733166
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.35,52919.09923698023
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.4,52991.33335231752
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.45,53061.22069486495
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.5,53130.0
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.55,53198.77930513505
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.6,53268.66664768248
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.65,53340.90076301977
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.7,53417.024640266834
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.75,53499.1742727595
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.8,53590.65178418635
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.85,53697.279996054494
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.9,53831.44263434127
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.95,54030.291874486014
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.975,54202.76393513324
2021-03-22,2 wk ahead cum death,2021-04-03,PL,quantile,0.99,54403.29997873943
2021-03-22,3 wk ahead cum death,2021-04-10,PL,point,NA,55068.0
2021-03-22,3 wk ahead cum death,2021-04-10,PL,quantile,0.01,53508.53238129587
2021-03-22,3 wk ahead cum death,2021-04-10,PL,quantile,0.025,53754.13787223171
2021-03-22,3 wk ahead cum death,2021-04-10,PL,quantile,0.05,53965.37214396773
2021-03-22,3 wk ahead cum death,2021-04-10,PL,quantile,0.1,54208.91173101513
2021-03-22,3 wk ahead cum death,2021-04-10,PL,quantile,0.15,54373.226734189215
2021-03-22,3 wk ahead cum death,2021-04-10,PL,quantile,0.2,54503.819089820376
2021-03-22,3 wk ahead cum death,2021-04-10,PL,quantile,0.25,54615.85570278808
2021-03-22,3 wk ahead cum death,2021-04-10,PL,quantile,0.3,54716.468043870176
2021-03-22,3 wk ahead cum death,2021-04-10,PL,quantile,0.35,54809.70037211897
2021-03-22,3 wk ahead cum death,2021-04-10,PL,quantile,0.4,54898.16873441782
2021-03-22,3 wk ahead cum death,2021-04-10,PL,quantile,0.45,54983.76289877797
