forecast_date,target_end_date,target,location,type,quantile,location_name,value
2021-03-15,2021-03-20,1 wk ahead cum death,PL,point,NA,Poland,49280.6446
2021-03-15,2021-03-20,1 wk ahead inc death,PL,point,NA,Poland,2212.6446
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.01,Poland,48649.7284
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.025,Poland,48675.283
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.05,Poland,48705.136
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.1,Poland,48748.3
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.15,Poland,48786.118
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.2,Poland,48831.712
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.25,Poland,48910.12
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.3,Poland,48981.796
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.35,Poland,49020.73
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.4,Poland,49058.944
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.45,Poland,49102.504
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.5,Poland,49181.38
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.55,Poland,49248.322
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.6,Poland,49287.4
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.65,Poland,49336.648
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.7,Poland,49391.692
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.75,Poland,49591.78
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.8,Poland,49912.792
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.85,Poland,49969.726
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.9,Poland,50017.084
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.95,Poland,50075.008
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.975,Poland,50115.616
2021-03-15,2021-03-20,1 wk ahead cum death,PL,quantile,0.99,Poland,50157.2356
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.01,Poland,1581.7284000000002
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.025,Poland,1607.283
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.05,Poland,1637.136
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.1,Poland,1680.2999999999997
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.15,Poland,1718.118
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.2,Poland,1763.712
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.25,Poland,1842.12
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.3,Poland,1913.796
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.35,Poland,1952.7299999999998
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.4,Poland,1990.9440000000002
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.45,Poland,2034.504
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.5,Poland,2113.38
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.55,Poland,2180.322
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.6,Poland,2219.4
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.65,Poland,2268.6479999999997
2021-03-15,2021-03-20,1 wk ahead inc death,PL,quantile,0.7,Poland,2323.6919999999996
