forecast_date,target_end_date,target,location,type,quantile,location_name,value
2021-03-22,2021-03-27,1 wk ahead cum case,PL,point,NA,Poland,2205664.9
2021-03-22,2021-03-27,1 wk ahead inc case,PL,point,NA,Poland,168964.90000000002
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.01,Poland,2174644.924
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.025,Poland,2176012.68
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.05,Poland,2177116.38
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.1,Poland,2179200.02
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.15,Poland,2181030.16
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.2,Poland,2183215.72
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.25,Poland,2185382.3
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.3,Poland,2187811.48
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.35,Poland,2189975.46
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.4,Poland,2192931.4
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.45,Poland,2201544.16
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.5,Poland,2205664.9
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.55,Poland,2208539.46
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.6,Poland,2211866.42
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.65,Poland,2215196.5
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.7,Poland,2218949.08
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.75,Poland,2223546.4
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.8,Poland,2230182.9
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.85,Poland,2236343.6
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.9,Poland,2242800.7
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.95,Poland,2248715.18
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.975,Poland,2251861.96
2021-03-22,2021-03-27,1 wk ahead cum case,PL,quantile,0.99,Poland,2255037.912
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.01,Poland,137944.924
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.025,Poland,139312.68
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.05,Poland,140416.38
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.1,Poland,142500.02
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.15,Poland,144330.16000000003
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.2,Poland,146515.72
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.25,Poland,148682.3
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.3,Poland,151111.47999999998
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.35,Poland,153275.46
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.4,Poland,156231.40000000002
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.45,Poland,164844.16
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.5,Poland,168964.90000000002
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.55,Poland,171839.45999999996
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.6,Poland,175166.41999999998
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.65,Poland,178496.50000000003
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.7,Poland,182249.08
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.75,Poland,186846.4
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.8,Poland,193482.9
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.85,Poland,199643.6
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.9,Poland,206100.7
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.95,Poland,212015.18
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.975,Poland,215161.96000000002
2021-03-22,2021-03-27,1 wk ahead inc case,PL,quantile,0.99,Poland,218337.91199999998
2021-03-22,2021-04-03,2 wk ahead cum case,PL,point,NA,Poland,2390979.9
2021-03-22,2021-04-03,2 wk ahead inc case,PL,point,NA,Poland,185315.0
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.01,Poland,2323021.5160000003
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.025,Poland,2325080.04
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.05,Poland,2327120.0
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.1,Poland,2330518.72
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.15,Poland,2347376.3400000003
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.2,Poland,2352658.24
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.25,Poland,2356451.9
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.3,Poland,2360545.08
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.35,Poland,2364313.26
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.4,Poland,2369453.1999999997
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.45,Poland,2385131.98
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.5,Poland,2390979.9
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.55,Poland,2395410.3
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.6,Poland,2425274.42
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.65,Poland,2432106.7
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.7,Poland,2438553.14
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.75,Poland,2447470.1
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.8,Poland,2457180.58
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.85,Poland,2466117.56
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.9,Poland,2506840.8400000003
2021-03-22,2021-04-03,2 wk ahead cum case,PL,quantile,0.95,Poland,2516576.02
