"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-03-20,"GM","Germany",2641843.43669432,"point",NA,"1 wk ahead cum case"
2021-03-15,2021-03-27,"GM","Germany",2733010.77706803,"point",NA,"2 wk ahead cum case"
2021-03-15,2021-04-03,"GM","Germany",2827129.43755198,"point",NA,"3 wk ahead cum case"
2021-03-15,2021-04-10,"GM","Germany",2920179.35134028,"point",NA,"4 wk ahead cum case"
2021-03-15,2021-04-17,"GM","Germany",3010642.14227699,"point",NA,"5 wk ahead cum case"
2021-03-15,2021-04-24,"GM","Germany",3097915.63726538,"point",NA,"6 wk ahead cum case"
2021-03-15,2021-05-01,"GM","Germany",3181601.76185222,"point",NA,"7 wk ahead cum case"
2021-03-15,2021-05-08,"GM","Germany",3260975.91413218,"point",NA,"8 wk ahead cum case"
2021-03-15,2021-05-15,"GM","Germany",3336615.14037234,"point",NA,"9 wk ahead cum case"
2021-03-15,2021-05-22,"GM","Germany",3408731.24412538,"point",NA,"10 wk ahead cum case"
2021-03-15,2021-05-29,"GM","Germany",3477459.51716155,"point",NA,"11 wk ahead cum case"
2021-03-15,2021-06-05,"GM","Germany",3542850.03577097,"point",NA,"12 wk ahead cum case"
2021-03-15,2021-06-12,"GM","Germany",3605057.62927025,"point",NA,"13 wk ahead cum case"
2021-03-15,2021-06-19,"GM","Germany",3664237.91627982,"point",NA,"14 wk ahead cum case"
2021-03-15,2021-03-20,"GM","Germany",2638031.31234558,"quantile",0.025,"1 wk ahead cum case"
2021-03-15,2021-03-27,"GM","Germany",2712478.44463294,"quantile",0.025,"2 wk ahead cum case"
2021-03-15,2021-04-03,"GM","Germany",2782815.33089701,"quantile",0.025,"3 wk ahead cum case"
2021-03-15,2021-04-10,"GM","Germany",2848820.41733954,"quantile",0.025,"4 wk ahead cum case"
2021-03-15,2021-04-17,"GM","Germany",2910692.78483447,"quantile",0.025,"5 wk ahead cum case"
2021-03-15,2021-04-24,"GM","Germany",2968673.98374814,"quantile",0.025,"6 wk ahead cum case"
2021-03-15,2021-05-01,"GM","Germany",3023019.02660477,"quantile",0.025,"7 wk ahead cum case"
2021-03-15,2021-05-08,"GM","Germany",3073980.70994337,"quantile",0.025,"8 wk ahead cum case"
2021-03-15,2021-05-15,"GM","Germany",3121798.44351484,"quantile",0.025,"9 wk ahead cum case"
2021-03-15,2021-05-22,"GM","Germany",3166700.81989153,"quantile",0.025,"10 wk ahead cum case"
2021-03-15,2021-05-29,"GM","Germany",3208902.44878353,"quantile",0.025,"11 wk ahead cum case"
2021-03-15,2021-06-05,"GM","Germany",3248601.24492263,"quantile",0.025,"12 wk ahead cum case"
2021-03-15,2021-06-12,"GM","Germany",3285982.87794757,"quantile",0.025,"13 wk ahead cum case"
2021-03-15,2021-06-19,"GM","Germany",3321221.02821685,"quantile",0.025,"14 wk ahead cum case"
2021-03-15,2021-03-20,"GM","Germany",2651824.74803282,"quantile",0.975,"1 wk ahead cum case"
2021-03-15,2021-03-27,"GM","Germany",2787485.35952543,"quantile",0.975,"2 wk ahead cum case"
2021-03-15,2021-04-03,"GM","Germany",2946465.81870855,"quantile",0.975,"3 wk ahead cum case"
2021-03-15,2021-04-10,"GM","Germany",3115652.33962406,"quantile",0.975,"4 wk ahead cum case"
2021-03-15,2021-04-17,"GM","Germany",3288454.56545252,"quantile",0.975,"5 wk ahead cum case"
2021-03-15,2021-04-24,"GM","Germany",3461416.48293078,"quantile",0.975,"6 wk ahead cum case"
2021-03-15,2021-05-01,"GM","Germany",3632647.61919723,"quantile",0.975,"7 wk ahead cum case"
2021-03-15,2021-05-08,"GM","Germany",3801080.31593182,"quantile",0.975,"8 wk ahead cum case"
2021-03-15,2021-05-15,"GM","Germany",3966082.96461808,"quantile",0.975,"9 wk ahead cum case"
2021-03-15,2021-05-22,"GM","Germany",4127259.20651528,"quantile",0.975,"10 wk ahead cum case"
2021-03-15,2021-05-29,"GM","Germany",4284357.61507508,"quantile",0.975,"11 wk ahead cum case"
2021-03-15,2021-06-05,"GM","Germany",4437220.46093427,"quantile",0.975,"12 wk ahead cum case"
2021-03-15,2021-06-12,"GM","Germany",4585752.01985078,"quantile",0.975,"13 wk ahead cum case"
2021-03-15,2021-06-19,"GM","Germany",4729902.37959824,"quantile",0.975,"14 wk ahead cum case"
2021-03-15,2021-03-20,"GM","Germany",71979.4366943152,"point",NA,"1 wk ahead inc case"
2021-03-15,2021-03-27,"GM","Germany",91167.3403737149,"point",NA,"2 wk ahead inc case"
2021-03-15,2021-04-03,"GM","Germany",94118.6604839498,"point",NA,"3 wk ahead inc case"
2021-03-15,2021-04-10,"GM","Germany",93049.9137882977,"point",NA,"4 wk ahead inc case"
2021-03-15,2021-04-17,"GM","Germany",90462.7909367159,"point",NA,"5 wk ahead inc case"
2021-03-15,2021-04-24,"GM","Germany",87273.4949883833,"point",NA,"6 wk ahead inc case"
2021-03-15,2021-05-01,"GM","Germany",83686.1245868392,"point",NA,"7 wk ahead inc case"
2021-03-15,2021-05-08,"GM","Germany",79374.1522799674,"point",NA,"8 wk ahead inc case"
2021-03-15,2021-05-15,"GM","Germany",75639.2262401571,"point",NA,"9 wk ahead inc case"
