"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-03-20,"GM","Germany",74679.1270929065,"point",NA,"1 wk ahead cum death"
2021-03-15,2021-03-27,"GM","Germany",75956.7259563134,"point",NA,"2 wk ahead cum death"
2021-03-15,2021-04-03,"GM","Germany",77284.3907252123,"point",NA,"3 wk ahead cum death"
2021-03-15,2021-04-10,"GM","Germany",78630.5804245692,"point",NA,"4 wk ahead cum death"
2021-03-15,2021-04-17,"GM","Germany",79973.4719722658,"point",NA,"5 wk ahead cum death"
2021-03-15,2021-04-24,"GM","Germany",81307.5298836376,"point",NA,"6 wk ahead cum death"
2021-03-15,2021-05-01,"GM","Germany",82626.3996194688,"point",NA,"7 wk ahead cum death"
2021-03-15,2021-05-08,"GM","Germany",83894.2905290432,"point",NA,"8 wk ahead cum death"
2021-03-15,2021-05-15,"GM","Germany",85108.4983303304,"point",NA,"9 wk ahead cum death"
2021-03-15,2021-05-22,"GM","Germany",86248.2888572689,"point",NA,"10 wk ahead cum death"
2021-03-15,2021-05-29,"GM","Germany",87356.68123448,"point",NA,"11 wk ahead cum death"
2021-03-15,2021-06-05,"GM","Germany",88364.0605861089,"point",NA,"12 wk ahead cum death"
2021-03-15,2021-06-12,"GM","Germany",89350.6411382824,"point",NA,"13 wk ahead cum death"
2021-03-15,2021-06-19,"GM","Germany",90245.1788711723,"point",NA,"14 wk ahead cum death"
2021-03-15,2021-03-20,"GM","Germany",74637.2229177677,"quantile",0.025,"1 wk ahead cum death"
2021-03-15,2021-03-27,"GM","Germany",75695.6222110669,"quantile",0.025,"2 wk ahead cum death"
2021-03-15,2021-04-03,"GM","Germany",76684.6292570194,"quantile",0.025,"3 wk ahead cum death"
2021-03-15,2021-04-10,"GM","Germany",77626.9837416752,"quantile",0.025,"4 wk ahead cum death"
2021-03-15,2021-04-17,"GM","Germany",78529.5628119453,"quantile",0.025,"5 wk ahead cum death"
2021-03-15,2021-04-24,"GM","Germany",79390.8320829808,"quantile",0.025,"6 wk ahead cum death"
2021-03-15,2021-05-01,"GM","Germany",80207.5614268067,"quantile",0.025,"7 wk ahead cum death"
2021-03-15,2021-05-08,"GM","Germany",80980.894702403,"quantile",0.025,"8 wk ahead cum death"
2021-03-15,2021-05-15,"GM","Germany",81709.2632286001,"quantile",0.025,"9 wk ahead cum death"
2021-03-15,2021-05-22,"GM","Germany",82388.8394036964,"quantile",0.025,"10 wk ahead cum death"
2021-03-15,2021-05-29,"GM","Germany",83018.6214064274,"quantile",0.025,"11 wk ahead cum death"
2021-03-15,2021-06-05,"GM","Germany",83600.4719271017,"quantile",0.025,"12 wk ahead cum death"
2021-03-15,2021-06-12,"GM","Germany",84134.9330729752,"quantile",0.025,"13 wk ahead cum death"
2021-03-15,2021-06-19,"GM","Germany",84591.2725986822,"quantile",0.025,"14 wk ahead cum death"
2021-03-15,2021-03-20,"GM","Germany",74815.9653343741,"quantile",0.975,"1 wk ahead cum death"
2021-03-15,2021-03-27,"GM","Germany",76756.5226990255,"quantile",0.975,"2 wk ahead cum death"
2021-03-15,2021-04-03,"GM","Germany",79122.7525845769,"quantile",0.975,"3 wk ahead cum death"
2021-03-15,2021-04-10,"GM","Germany",81762.2339947405,"quantile",0.975,"4 wk ahead cum death"
2021-03-15,2021-04-17,"GM","Germany",84570.5141110436,"quantile",0.975,"5 wk ahead cum death"
2021-03-15,2021-04-24,"GM","Germany",87463.8890968957,"quantile",0.975,"6 wk ahead cum death"
2021-03-15,2021-05-01,"GM","Germany",90398.6279080226,"quantile",0.975,"7 wk ahead cum death"
2021-03-15,2021-05-08,"GM","Germany",93337.026924796,"quantile",0.975,"8 wk ahead cum death"
2021-03-15,2021-05-15,"GM","Germany",96246.4139253689,"quantile",0.975,"9 wk ahead cum death"
2021-03-15,2021-05-22,"GM","Germany",99114.5979100143,"quantile",0.975,"10 wk ahead cum death"
2021-03-15,2021-05-29,"GM","Germany",101929.659172469,"quantile",0.975,"11 wk ahead cum death"
2021-03-15,2021-06-05,"GM","Germany",104677.118135388,"quantile",0.975,"12 wk ahead cum death"
2021-03-15,2021-06-12,"GM","Germany",107350.276839646,"quantile",0.975,"13 wk ahead cum death"
2021-03-15,2021-06-19,"GM","Germany",109946.003012816,"quantile",0.975,"14 wk ahead cum death"
2021-03-15,2021-03-20,"GM","Germany",1310.12709290652,"point",NA,"1 wk ahead inc death"
2021-03-15,2021-03-27,"GM","Germany",1277.59886340692,"point",NA,"2 wk ahead inc death"
2021-03-15,2021-04-03,"GM","Germany",1327.66476889883,"point",NA,"3 wk ahead inc death"
2021-03-15,2021-04-10,"GM","Germany",1346.18969935692,"point",NA,"4 wk ahead inc death"
2021-03-15,2021-04-17,"GM","Germany",1342.89154769661,"point",NA,"5 wk ahead inc death"
2021-03-15,2021-04-24,"GM","Germany",1334.0579113718,"point",NA,"6 wk ahead inc death"
2021-03-15,2021-05-01,"GM","Germany",1318.86973583116,"point",NA,"7 wk ahead inc death"
2021-03-15,2021-05-08,"GM","Germany",1267.89090957445,"point",NA,"8 wk ahead inc death"
2021-03-15,2021-05-15,"GM","Germany",1214.20780128716,"point",NA,"9 wk ahead inc death"
2021-03-15,2021-05-22,"GM","Germany",1139.79052693849,"point",NA,"10 wk ahead inc death"
2021-03-15,2021-05-29,"GM","Germany",1108.39237721116,"point",NA,"11 wk ahead inc death"
2021-03-15,2021-06-05,"GM","Germany",1007.37935162892,"point",NA,"12 wk ahead inc death"
2021-03-15,2021-06-12,"GM","Germany",986.580552173458,"point",NA,"13 wk ahead inc death"
2021-03-15,2021-06-19,"GM","Germany",894.537732889919,"point",NA,"14 wk ahead inc death"
2021-03-15,2021-03-15,"GM","Germany",73701,"point",NA,"0 day ahead cum death"
2021-03-15,2021-03-16,"GM","Germany",73910.2857142857,"point",NA,"1 day ahead cum death"
2021-03-15,2021-03-17,"GM","Germany",74112.0861412716,"point",NA,"2 day ahead cum death"
2021-03-15,2021-03-18,"GM","Germany",74306.6470387388,"point",NA,"3 day ahead cum death"
2021-03-15,2021-03-19,"GM","Germany",74495.0699630133,"point",NA,"4 day ahead cum death"
2021-03-15,2021-03-20,"GM","Germany",74679.1270929065,"point",NA,"5 day ahead cum death"
2021-03-15,2021-03-21,"GM","Germany",74860.6674134798,"point",NA,"6 day ahead cum death"
2021-03-15,2021-03-22,"GM","Germany",75041.2705108852,"point",NA,"7 day ahead cum death"
2021-03-15,2021-03-23,"GM","Germany",75222.0780469504,"point",NA,"8 day ahead cum death"
2021-03-15,2021-03-24,"GM","Germany",75403.7880477592,"point",NA,"9 day ahead cum death"
2021-03-15,2021-03-25,"GM","Germany",75586.7465859907,"point",NA,"10 day ahead cum death"
2021-03-15,2021-03-26,"GM","Germany",75771.0661888626,"point",NA,"11 day ahead cum death"
2021-03-15,2021-03-27,"GM","Germany",75956.7259563134,"point",NA,"12 day ahead cum death"
