"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-22,"1 day ahead cum death",2021-03-23,"GM","Germany","point",NA,75577.725262
2021-03-22,"2 day ahead cum death",2021-03-24,"GM","Germany","point",NA,75804.089395
2021-03-22,"3 day ahead cum death",2021-03-25,"GM","Germany","point",NA,75964.198054
2021-03-22,"4 day ahead cum death",2021-03-26,"GM","Germany","point",NA,76100.432471
2021-03-22,"5 day ahead cum death",2021-03-27,"GM","Germany","point",NA,76245.795278
2021-03-22,"6 day ahead cum death",2021-03-28,"GM","Germany","point",NA,76422.724137
2021-03-22,"7 day ahead cum death",2021-03-29,"GM","Germany","point",NA,76644.306039
2021-03-22,"8 day ahead cum death",2021-03-30,"GM","Germany","point",NA,76931.643571
2021-03-22,"9 day ahead cum death",2021-03-31,"GM","Germany","point",NA,77209.994309
2021-03-22,"10 day ahead cum death",2021-04-01,"GM","Germany","point",NA,77404.090354
2021-03-22,"11 day ahead cum death",2021-04-02,"GM","Germany","point",NA,77567.180215
2021-03-22,"12 day ahead cum death",2021-04-03,"GM","Germany","point",NA,77748.871201
2021-03-22,"13 day ahead cum death",2021-04-04,"GM","Germany","point",NA,77975.140676
2021-03-22,"14 day ahead cum death",2021-04-05,"GM","Germany","point",NA,78262.873322
2021-03-22,"15 day ahead cum death",2021-04-06,"GM","Germany","point",NA,78613.493465
2021-03-22,"16 day ahead cum death",2021-04-07,"GM","Germany","point",NA,78928.474193
2021-03-22,"17 day ahead cum death",2021-04-08,"GM","Germany","point",NA,79155.443205
2021-03-22,"18 day ahead cum death",2021-04-09,"GM","Germany","point",NA,79358.023967
2021-03-22,"19 day ahead cum death",2021-04-10,"GM","Germany","point",NA,79592.516423
2021-03-22,"20 day ahead cum death",2021-04-11,"GM","Germany","point",NA,79888.010820
2021-03-22,"21 day ahead cum death",2021-04-12,"GM","Germany","point",NA,80263.531400
2021-03-22,"22 day ahead cum death",2021-04-13,"GM","Germany","point",NA,80698.053861
2021-03-22,"23 day ahead cum death",2021-04-14,"GM","Germany","point",NA,81078.156508
2021-03-22,"24 day ahead cum death",2021-04-15,"GM","Germany","point",NA,81357.194205
2021-03-22,"25 day ahead cum death",2021-04-16,"GM","Germany","point",NA,81616.385740
2021-03-22,"26 day ahead cum death",2021-04-17,"GM","Germany","point",NA,81925.151953
2021-03-22,"27 day ahead cum death",2021-04-18,"GM","Germany","point",NA,82317.206546
2021-03-22,"28 day ahead cum death",2021-04-19,"GM","Germany","point",NA,82805.063137
2021-03-22,"29 day ahead cum death",2021-04-20,"GM","Germany","point",NA,83348.695747
2021-03-22,"30 day ahead cum death",2021-04-21,"GM","Germany","point",NA,83818.395374
2021-03-22,"1 day ahead cum death",2021-03-23,"GM","Germany","quantile","0.01",75083.470397
2021-03-22,"2 day ahead cum death",2021-03-24,"GM","Germany","quantile","0.01",75290.029691
2021-03-22,"3 day ahead cum death",2021-03-25,"GM","Germany","quantile","0.01",75432.115642
2021-03-22,"4 day ahead cum death",2021-03-26,"GM","Germany","quantile","0.01",75583.392003
2021-03-22,"5 day ahead cum death",2021-03-27,"GM","Germany","quantile","0.01",75733.728323
2021-03-22,"6 day ahead cum death",2021-03-28,"GM","Germany","quantile","0.01",75904.152236
2021-03-22,"7 day ahead cum death",2021-03-29,"GM","Germany","quantile","0.01",76101.057135
2021-03-22,"8 day ahead cum death",2021-03-30,"GM","Germany","quantile","0.01",76398.911009
2021-03-22,"9 day ahead cum death",2021-03-31,"GM","Germany","quantile","0.01",76659.772937
2021-03-22,"10 day ahead cum death",2021-04-01,"GM","Germany","quantile","0.01",76837.092034
2021-03-22,"11 day ahead cum death",2021-04-02,"GM","Germany","quantile","0.01",77012.567812
2021-03-22,"12 day ahead cum death",2021-04-03,"GM","Germany","quantile","0.01",77198.261996
2021-03-22,"13 day ahead cum death",2021-04-04,"GM","Germany","quantile","0.01",77417.395973
2021-03-22,"14 day ahead cum death",2021-04-05,"GM","Germany","quantile","0.01",77678.861587
2021-03-22,"15 day ahead cum death",2021-04-06,"GM","Germany","quantile","0.01",78034.356707
2021-03-22,"16 day ahead cum death",2021-04-07,"GM","Germany","quantile","0.01",78335.110946
2021-03-22,"17 day ahead cum death",2021-04-08,"GM","Germany","quantile","0.01",78538.001227
2021-03-22,"18 day ahead cum death",2021-04-09,"GM","Germany","quantile","0.01",78720.650089
2021-03-22,"19 day ahead cum death",2021-04-10,"GM","Germany","quantile","0.01",78901.379568
2021-03-22,"20 day ahead cum death",2021-04-11,"GM","Germany","quantile","0.01",79094.012898
2021-03-22,"21 day ahead cum death",2021-04-12,"GM","Germany","quantile","0.01",79319.556931
2021-03-22,"22 day ahead cum death",2021-04-13,"GM","Germany","quantile","0.01",79694.908426
2021-03-22,"23 day ahead cum death",2021-04-14,"GM","Germany","quantile","0.01",79982.411921
2021-03-22,"24 day ahead cum death",2021-04-15,"GM","Germany","quantile","0.01",80145.824038
2021-03-22,"25 day ahead cum death",2021-04-16,"GM","Germany","quantile","0.01",80291.119426
2021-03-22,"26 day ahead cum death",2021-04-17,"GM","Germany","quantile","0.01",80433.678011
2021-03-22,"27 day ahead cum death",2021-04-18,"GM","Germany","quantile","0.01",80586.347871
2021-03-22,"28 day ahead cum death",2021-04-19,"GM","Germany","quantile","0.01",80788.443450
2021-03-22,"29 day ahead cum death",2021-04-20,"GM","Germany","quantile","0.01",81153.590245
2021-03-22,"30 day ahead cum death",2021-04-21,"GM","Germany","quantile","0.01",81420.929112
2021-03-22,"1 day ahead cum death",2021-03-23,"GM","Germany","quantile","0.025",75161.312160
2021-03-22,"2 day ahead cum death",2021-03-24,"GM","Germany","quantile","0.025",75370.990581
2021-03-22,"3 day ahead cum death",2021-03-25,"GM","Germany","quantile","0.025",75515.914985
2021-03-22,"4 day ahead cum death",2021-03-26,"GM","Germany","quantile","0.025",75664.822343
2021-03-22,"5 day ahead cum death",2021-03-27,"GM","Germany","quantile","0.025",75814.375369
2021-03-22,"6 day ahead cum death",2021-03-28,"GM","Germany","quantile","0.025",75985.823766
2021-03-22,"7 day ahead cum death",2021-03-29,"GM","Germany","quantile","0.025",76186.615124
2021-03-22,"8 day ahead cum death",2021-03-30,"GM","Germany","quantile","0.025",76482.812746
2021-03-22,"9 day ahead cum death",2021-03-31,"GM","Germany","quantile","0.025",76746.429042
2021-03-22,"10 day ahead cum death",2021-04-01,"GM","Germany","quantile","0.025",76926.390394
2021-03-22,"11 day ahead cum death",2021-04-02,"GM","Germany","quantile","0.025",77099.915475
2021-03-22,"12 day ahead cum death",2021-04-03,"GM","Germany","quantile","0.025",77284.979183
2021-03-22,"13 day ahead cum death",2021-04-04,"GM","Germany","quantile","0.025",77505.236952
