date,location,location_name,value
2021-03-16,GM,Germany,73656
2021-03-16,GM01,Baden-Württemberg State,8437
2021-03-16,GM02,Free State of Bavaria,12865
2021-03-16,GM03,Free Hanseatic City of Bremen,379
2021-03-16,GM04,Free Hanseatic City of Hamburg,1332
2021-03-16,GM05,Hesse State,6059
2021-03-16,GM06,Lower Saxony State,4608
2021-03-16,GM07,North Rhine-Westphalia State,13722
2021-03-16,GM08,Rhineland-Palatinate State,3221
2021-03-16,GM09,Saarland State,914
2021-03-16,GM10,Schleswig-Holstein State,1384
2021-03-16,GM11,Brandenburg State,3177
2021-03-16,GM12,Mecklenburg-Western Pomerania State,811
2021-03-16,GM13,Free State of Saxony,8126
2021-03-16,GM14,Sachsen-Anhalt State,2584
2021-03-16,GM15,Free State of Thuringia,3096
2021-03-16,GM16,Berlin State,2941
